Table 1. Broad band observations of GRB 060526, times given are the midpoint of the observations. Data have not been corrected for Galactic
extinction. All data except the Keck/LRIS g? and the HST F775W data points (in AB magnitudes) are in Vega magnitudes.

?t [d] 			exp [s] 		instrument 		filter 			mag 		error
3.73439 		660 			Keck/LRIS 		g?			23.952 		0.022
4.87114 		660 			Keck/LRIS 		g?			24.480 		0.120
0.0021561 		10 			UVOT 			v 			16.610 		0.280
0.0022719 		10 			UVOT 			v 			16.540 		0.190
0.0023876 		10 			UVOT 			v 			16.480 		0.180
0.0025034 		10 			UVOT 			v 			16.660 		0.200
0.0026191 		10 			UVOT 			v 			16.830 		0.210
0.0027348 		10 			UVOT 			v 			17.000 		0.230
0.0028506 		10 			UVOT 			v 			16.710 		0.200
0.0029663 		10 			UVOT 			v 			15.940 		0.140
0.0030821 		10 			UVOT 			v 			16.350 		0.170
0.0031978 		10 			UVOT 			v 			16.610 		0.190
0.0033135 		10 			UVOT 			v 			16.940 		0.220
0.0034293 		10 			UVOT 			v 			16.670 		0.200
0.0035450 		10 			UVOT 			v 			17.200 		0.260
0.0036608 		10 			UVOT 			v 			17.140 		0.250
0.0037765 		10 			UVOT 			v 			17.570 		0.300
0.0038923 		10 			UVOT 			v 			18.000 		0.380
0.0040080 		10 			UVOT 			v 			17.340 		0.270
0.0041237 		10 			UVOT 			v 			17.010 		0.230
0.0042395 		10 			UVOT 			v 			17.270 		0.260
0.0043552 		10 			UVOT 			v 			16.920 		0.220
0.0044710 		10 			UVOT 			v 			17.520 		0.300
0.0045867 		10 			UVOT 			v 			17.580 		0.310
0.0049254 		50 			UVOT 			v 			17.780 		0.150
0.0054498 		40 			UVOT 			v 			17.720 		0.160
0.0059132 		40 			UVOT 			v 			17.710 		0.160
0.0064320 		50 			UVOT 			v 			17.900 		0.160
0.0082840 		41.68 			UVOT 			v 			17.770 		0.160
0.0105975 		70 			UVOT 			v 			18.160 		0.150
0.0112959 		50 			UVOT 			v 			17.900 		0.160
0.0118748 		50 			UVOT 			v 			17.930 		0.160
0.0125663 		70 			UVOT 			v 			18.240 		0.160
0.0136547 		120 			UVOT 			v 			18.820 		0.160
0.0169180 		66.88 			UVOT 			v 			18.250 		0.160
0.0356456 		210.99 			UVOT 			v 			18.370 		0.120
0.1052804 		311.39 			UVOT 			v 			18.820 		0.140
0.19284 		60 			DOLORES 		V 			19.235 		0.087
0.19443 		60 			DOLORES 		V 			19.338 		0.065
0.22210 		120 			MIRO 			V 			19.274 		0.167
0.23067 		100 			RTT150 			V 			19.302 		0.046
0.23583 		100 			RTT150 			V 			19.527 		0.047
0.24254 		100 			RTT150 			V 			19.364 		0.045
0.24818 		1200			BFOSC 			V 			19.403 		0.081
0.26313 		300 			RTT150 			V 			19.584 		0.040
0.28487 		300 			RTT150 			V 			19.669 		0.040
0.28809 		1200			BFOSC 			V 			19.655 		0.078
0.30667 		300 			RTT150 			V 			19.821 		0.040
0.32942 		300 			RTT150 			V 			19.861 		0.048
0.33005 		1200			BFOSC 			V 			19.870 		0.083
0.41910 		600 			DFOSC 			V 			20.155 		0.073
0.43507 		600 			DFOSC 			V 			20.200 		0.057
1.10946 		900 			RTT150			V 			21.027 		0.055
1.31288 		900 			RTT150 			V 			21.105 		0.060
1.40937 		600 			DFOSC 			V 			21.267 		0.037
1.41685 		600 			DFOSC 			V 			21.273 		0.040
1.42464 		600 			DFOSC 			V 			21.276 		0.038
1.42725 		11382.11 		UVOT 			v 			21.340 		0.170
2.32642 		900 			RTT150 			V 			22.203 		0.123
2.36561 		600 			DFOSC 			V 			22.279 		0.062
3.14483 		3000			RTT150			V 			22.818 		0.094
3.23404 		3000			RTT150			V 			22.834 		0.094
3.32054 		3000			RTT150			V 			23.123 		0.154
4.24058 		7200			RTT150			V 			23.508 		0.121
5.35387 		8400			RTT150			V 			24.322 		0.211
0.0009974 		10 			UVOT			white 			16.870 		0.120
0.0011133 		10 			UVOT			white 			16.800 		0.110
0.0012292 		10 			UVOT			white 			16.920 		0.120
0.0013451 		10 			UVOT			white 			17.050 		0.130
0.0014609 		10 			UVOT			white 			17.150 		0.140
0.0015767 		10 			UVOT			white 			17.050 		0.130
0.0016925 		10 			UVOT			white 			17.180 		0.140
0.0018083 		10 			UVOT			white 			17.060 		0.130
0.0019241 		10 			UVOT			white 			17.000 		0.130
0.0020399 		9.76 			UVOT			white 			16.930 		0.120
0.0078848 		9.77 			UVOT			white 			17.540 		0.170
0.0122853 		107.98 			UVOT			white 			18.090 		0.080
0.0193600 		29.28 			UVOT			white 			18.670 		0.170
0.0744556 		196.63 			UVOT			white 			18.730 		0.090
0.0005741 		10 			Watcher 		RC 			16.110 		0.430
0.0013513 		10 			Watcher 		RC 			> 16.080 	· · ·
0.0017219 		10 			Watcher 		RC 			> 15.830 	· · ·
0.0025092 		10 			Watcher 		RC 			> 16.240 	· · ·
0.0028681 		10 			Watcher 		RC 			> 16.060 	· · ·
0.0036553 		10 			Watcher 		RC 			> 16.050 	· · ·
0.0068646 		60 			Watcher 		RC 			16.920 		0.400
0.0110924 		60 			Watcher 		RC 			16.990 		0.380
0.0195091 		60 			Watcher 		RC 			17.290 		0.390
0.0237226 		60 			Watcher 		RC 			17.540 		0.520
0.0342566 		120 			Watcher 		RC 			17.740 		0.120
0.0497130 		240 			Watcher 		RC 			17.847 		0.140
0.0651205 		240 			Watcher 		RC 			18.030 		0.140
0.0805210 		240 			Watcher 		RC 			18.097 		0.150
0.09030 		180 			Maidanak		RC 			18.039 		0.062
0.09539 		180 			Maidanak		RC 			18.042 		0.064
0.095935 		240 			Watcher 		RC 			18.047 		0.140
0.10079 		180 			Maidanak		RC 			18.117 		0.067
0.1113202 		240 			Watcher 		RC 			18.247 		0.180
0.1267018 		240 			Watcher 		RC 			18.137 		0.150
0.1457669 		360 			Watcher 		RC 			18.363 		0.140
0.18919 		60 			DOLORES 		RC 			18.627 		0.109
0.19079 		60 			DOLORES 		RC 			18.763 		0.097
0.19165 		180 			MIRO 			RC 			18.616 		0.066
0.19390 		180 			MIRO 			RC 			18.646 		0.068
0.19615 		180 			MIRO 			RC 			18.546 		0.094
0.19838 		180 			MIRO 			RC 			18.775 		0.046
0.20914 		600 			BFOSC			RC 			18.723 		0.087
0.21225 		180 			MIRO 			RC 			18.851 		0.143
0.21449 		180 			MIRO 			RC 			18.778 		0.273
0.21897 		180 			MIRO 			RC 			18.756 		0.232
0.22144 		900 			BFOSC			RC 			18.779 		0.083
0.22679 		150 			RTT150 			RC 			18.576 		0.076
0.22892 		150 			RTT150 			RC 			18.892 		0.061
0.23417 		150 			RTT150 			RC 			18.831 		0.060
0.23428 		900 			BFOSC 			RC 			18.821 		0.078
0.24058 		150 			RTT150 			RC 			18.888 		0.066
0.24829 		150 			RTT150 			RC 			18.881 		0.071
0.25054 		150 			RTT150 			RC 			18.935 		0.071
0.25279 		150 			RTT150 			RC 			18.960 		0.070
0.25504 		150 			RTT150 			RC 			18.805 		0.070
0.25530 		180 			MIRO 			RC 			18.815 		0.155
0.25729 		150 			RTT150 			RC 			18.910 		0.071
0.25954 		150 			RTT150 			RC 			18.917 		0.073
0.27050 		150 			RTT150 			RC 			18.994 		0.075
0.27275 		150 			RTT150 			RC 			19.105 		0.081
0.27468 		900 			BFOSC 			RC 			19.017 		0.074
0.27500 		150 			RTT150			RC 			19.147 		0.081
0.27721 		150 			RTT150			RC 			18.993 		0.074
0.27946 		150 			RTT150			RC 			19.014 		0.073
0.28171 		150 			RTT150			RC 			18.986 		0.075
0.29208 		150 			RTT150			RC 			19.073 		0.080
0.29438 		150 			RTT150			RC 			19.131 		0.081
0.29662 		150 			RTT150			RC 			19.170 		0.079
0.29888 		150 			RTT150			RC 			19.129 		0.077
0.30113 		150 			RTT150			RC 			19.206 		0.079
0.30342 		150 			RTT150			RC 			19.183 		0.074
0.31462 		150 			RTT150			RC 			19.144 		0.078
0.31599 		900 			BFOSC			RC 			19.332 		0.080
0.31692 		150 			RTT150 			RC 			19.128 		0.075
0.31917 		150 			RTT150 			RC 			19.292 		0.082
0.32142 		150 			RTT150 			RC 			19.349 		0.083
0.32371 		150 			RTT150 			RC 			19.289 		0.087
0.32596 		150 			RTT150 			RC 			19.303 		0.088
0.33725 		150 			RTT150 			RC 			19.290 		0.083
0.33950 		150 			RTT150 			RC 			19.275 		0.086
0.34179 		150 			RTT150 			RC 			19.402 		0.089
0.34404 		150 			RTT150 			RC 			19.336 		0.089
0.34629 		150 			RTT150 			RC 			19.341 		0.089
0.34854 		150 			RTT150 			RC 			19.454 		0.101
0.35083 		150 			RTT150 			RC 			19.466 		0.103
0.35308 		150 			RTT150 			RC 			19.505 		0.104
0.35533 		150 			RTT150 			RC 			19.364 		0.105
0.35758 		150 			RTT150 			RC 			19.383 		0.106
0.35983 		150 			RTT150 			RC 			19.417 		0.106
0.36208 		150 			RTT150 			RC 			19.434 		0.107
0.36433 		150 			RTT150 			RC 			19.462 		0.111
0.36658 		150 			RTT150 			RC 			19.270 		0.101
0.36883 		150 			RTT150 			RC 			19.492 		0.109
0.37108 		150 			RTT150 			RC 			19.542 		0.122
0.39230 		600 			DFOSC 			RC 			19.603 		0.051
0.40064 		600 			DFOSC 			RC 			19.607 		0.039
0.40800 		600 			DFOSC 			RC 			19.644 		0.037
0.53319 		600 			DFOSC 			RC 			19.820 		0.044
0.54030 		600 			DFOSC 			RC 			19.868 		0.041
0.54841 		600 			DFOSC 			RC 			19.899 		0.042
0.62960 		600 			DFOSC 			RC 			20.058 		0.090
0.63685 		300 			DFOSC 			RC 			20.030 		0.142
0.64096 		300 			DFOSC 			RC 			20.001 		0.145
0.64468 		300 			DFOSC 			RC 			19.982 		0.158
1.10432 		540 			Shajn 2.6m 		RC 			20.382 		0.120
1.11983 		900 			RTT150 			RC 			20.426 		0.069
1.12784 		540 			Shajn 2.6m 		RC 			20.478 		0.113
1.13576 		1080			Maidanak 		RC 			20.551 		0.041
1.31530 		900 			BFOSC 			RC 			20.700 		0.133
1.31725 		900 			RTT150 			RC 			20.512 		0.068
1.33046 		900 			BFOSC 			RC 			20.582 		0.108
1.35328 		600 			DFOSC 			RC 			20.648 		0.043
1.36091 		600 			DFOSC 			RC 			20.668 		0.040
1.37108 		600 			DFOSC 			RC 			20.686 		0.042
1.37829 		600 			DFOSC 			RC 			20.699 		0.038
1.49769 		600 			DFOSC 			RC 			20.864 		0.038
1.50549 		600 			DFOSC 			RC 			20.836 		0.039
1.51330 		600 			DFOSC 			RC 			20.871 		0.037
1.60597 		600 			DFOSC 			RC 			20.954 		0.047
1.61369 		600 			DFOSC 			RC 			21.031 		0.059
1.62117 		600 			DFOSC 			RC 			20.986 		0.067
2.11423 		1260			Maidanak 		RC 			21.565 		0.100
2.14083 		900 			RTT150 			RC 			21.373 		0.080
2.15346 		900 			RTT150 			RC 			21.330 		0.080
2.16637 		900 			RTT150 			RC 			21.389 		0.082
2.29040 		2400			TLS 1.34m 		RC 			21.700 		0.130
2.32674 		900 			MOSCA 			RC 			21.671 		0.188
2.33858 		900 			RTT150 			RC 			21.619 		0.091
2.35204 		900 			RTT150 			RC 			21.587 		0.083
2.36504 		900 			RTT150 			RC 			21.875 		0.115
3.10104 		1800			Maidanak 		RC 			22.286 		0.060
3.16792 		3000			RTT150 			RC 			22.062 		0.072
3.25538 		3000			RTT150 			RC 			22.239 		0.077
3.28438 		1800			MOSCA 			RC 			22.213 		0.052
3.34992 		3000			RTT150 			RC 			22.338 		0.095
3.73440 		660 			Keck/LRIS 		RC 			22.758 		0.042
4.11354 		2700			Maidanak 		RC 			23.181 		0.100
4.23200 		7200			RTT150 			RC 			23.072 		0.108
4.37326 		1800			MOSCA 			RC 			23.244 		0.099
4.87336 		900 			Keck/LRIS 		RC 			23.587 		0.123
5.10382 		3420			Maidanak 		RC 			23.733 		0.096
5.34483 		9000			RTT150 			RC 			23.680 		0.201
5.35173 		3600			ALFOSC 			RC 			23.571 		0.088
6.14534 		3420			Maidanak 		RC 			> 23.6 		· · ·
7.17834 		3600			Maidanak 		RC 			> 23.8 		· · ·
7.26820 		12000 			TLS 1.34m 		RC 			> 23.7 		· · ·
7.37882 		3600 			ALFOSC 			RC 			24.602 		0.039
10.3198 		3600 			ALFOSC 			RC 			> 24.6 		· · ·
272.654 		2500 			FORS2 			RC 			> 27.1 		· · ·
672.332 		7500 			FORS2 			RC 			(combined) 	· · ·
0.0010848 		10 			Watcher 		CR 			16.500 		0.400
0.0022314 		10 			Watcher 		CR 			16.160 		0.220
0.0033890 		10 			Watcher 		CR 			16.460 		0.220
0.0046149 		60 			Watcher 		CR 			16.830 		0.380
0.0088341 		60 			Watcher 		CR 			17.090 		0.450
0.0130493 		60 			Watcher 		CR 			17.230 		0.440
0.0172518 		60 			Watcher 		CR 			17.110 		0.360
0.0214654 		60 			Watcher 		CR 			17.430 		0.440
0.0263665 		120 			Watcher 		CR 			17.420 		0.320
0.0328664 		38.6 			ROTSE 			CR 			> 17.412 	· · ·
0.0340538 		120 			Watcher 		CR 			17.620 		0.370
0.0351278 		143.89 			ROTSE 			CR 			17.625 		0.192
0.0385665 		143.28 			ROTSE 			CR 			17.570 		0.170
0.0417402 		120 			Watcher 		CR 			17.590 		0.330
0.0419979 		143.28 			ROTSE 			CR 			17.558 		0.147
0.0454286 		143.23 			ROTSE 			CR 			18.054 		0.206
0.0488545 		143.18 			ROTSE 			CR 			17.792 		0.164
0.0494170 		120 			Watcher 		CR 			17.783 		0.090
0.0522827 		143.23 			ROTSE 			CR 			17.785 		0.153
0.0548713 		67.49 			ROTSE 			CR 			17.927 		0.321
0.0571028 		120 			Watcher 		CR 			17.810 		0.090
0.0574228 		143.84 			ROTSE 			CR 			17.723 		0.155
0.0608539 		143.43 			ROTSE 			CR 			17.624 		0.139
0.0639448 		113.58 			ROTSE 			CR 			17.841 		0.188
0.0647885 		120 			Watcher 		CR 			17.883 		0.100
0.0662157 		38.6			ROTSE 			CR 			17.659 		0.282
0.0684630 		148 			ROTSE 			CR 			17.876 		0.200
0.0724741 		120 			Watcher 		CR 			17.850 		0.090
0.0742371 		343.17 			ROTSE 			CR 			17.780 		0.088
0.0801480 		120 			Watcher			CR 			17.700 		0.080
0.0822853 		342.81 			ROTSE 			CR 			17.905 		0.074
0.0878566 		120 			Watcher 		CR 			17.790 		0.090
0.0903340 		342.96 			ROTSE 			CR 			17.959 		0.064
0.0955536 		120 			Watcher 		CR 			17.887 		0.090
0.0983836 		342.71 			ROTSE 			CR 			18.049 		0.091
0.1032274 		120 			Watcher			CR 			18.070 		0.100
0.1064264 		342.4 			ROTSE 			CR 			18.114 		0.081
0.1109128 		120 			Watcher 		CR 			17.890 		0.090
0.1179262 		335.45 			ROTSE 			CR 			18.141 		0.079
0.1185981 		120 			Watcher			CR 			18.210 		0.120
0.1262346 		342.96 			ROTSE 			CR 			18.232 		0.078
0.1262834 		120 			Watcher 		CR 			18.073 		0.100
0.1339918 		120 			Watcher 		CR 			18.113 		0.110
0.1342816 		342.96 			ROTSE 			CR 			18.255 		0.069
0.1416771 		120 			Watcher 		CR 			18.323 		0.140
0.1423343 		343.47 			ROTSE 			CR 			18.354 		0.066
0.1493624 		120 			Watcher 		CR 			18.170 		0.120
0.1503864 		343.01			ROTSE 			CR 			18.407 		0.070
0.1584325 		342.25 			ROTSE 			CR			18.440 		0.070
0.1611113 		975 			Watcher 		CR			18.423 		0.040
0.1682310 		342.61			ROTSE 			CR			18.484 		0.180
0.1724372 		975 			Watcher 		CR			18.560 		0.050
0.1762647 		342.3 			ROTSE 			CR			18.666 		0.093
0.1843071 		343.27 			ROTSE 			CR			18.578 		0.082
0.1844514 		1098 			Watcher 		CR			18.540 		0.050
0.1923501 		342.46 			ROTSE 			CR			18.541 		0.070
0.1971843 		1097 			Watcher 		CR			18.517 		0.050
0.2003860 		342.56 			ROTSE 			CR			18.637 		0.075
0.2084307 		342.61 			ROTSE 			CR			18.698 		0.096
0.2106114 		1220 			Watcher 		CR			18.707 		0.060
0.2164729 		342.96 			ROTSE 			CR			18.782 		0.101
0.2245117 		342.41 			ROTSE 			CR			18.789 		0.102
0.2254456 		1342 			Watcher 		CR			18.847 		0.060
0.2325434 		342.35 			ROTSE 			CR			18.881 		0.084
0.2405816 		342.46 			ROTSE			CR			18.941 		0.123
0.2410154 		1343 			Watcher 		CR			18.753 		0.040
0.2486180 		342.51 			ROTSE 			CR			18.877 		0.105
0.2566562 		342.82 			ROTSE 			CR			18.958 		0.095
0.2572685 		1464 			Watcher 		CR			19.033 		0.050
0.2647067 		343.17 			ROTSE 			CR			18.888 		0.170
0.2727542 		342.96			ROTSE 			CR			18.954 		0.109
0.2749340 		1587 			Watcher 		CR			18.987 		0.050
0.2807917 		342.3 			ROTSE 			CR			18.995 		0.118
0.2888233 		342.46 			ROTSE 			CR			19.122 		0.132
0.2940183 		1709 			Watcher 		CR			19.053 		0.060
0.2968695 		342.96 			ROTSE 			CR			19.125 		0.210
0.3049105 		342.61 			ROTSE 			CR			19.108 		0.169
0.3129479 		342.56 			ROTSE 			CR			19.318 		0.159
0.3145154 		1831 			Watcher 		CR			19.397 		0.110
0.3209870 		342.45 			ROTSE 			CR			19.300 		0.132
0.3290197 		342.4 			ROTSE 			CR			19.327 		0.173
0.3330194 		689.53 			ROTSE 			CR			19.360 		0.174
0.3364198 		1952 			Watcher 		CR			19.400 		0.100
0.3370540 		342.5 			ROTSE 			CR			19.305 		0.163
0.3450996 		342.86 			ROTSE 			CR			19.551 		0.213
0.3531434 		342.45 			ROTSE 			CR			19.353 		0.196
0.3597482 		2075 			Watcher 		CR			19.683 		0.100
0.3651768 		689.38 			ROTSE 			CR			19.464 		0.201
0.3812533 		690.3 			ROTSE 			CR			19.480 		0.220
0.3844837 		2197 			Watcher 		CR			19.777 		0.100
0.3982605 		770.22 			ROTSE 			CR			> 19.741 	· · ·
0.4241566 		1462.69 		ROTSE 			CR			19.687 		0.252
1.0566720 		1037.58 		ROTSE 			CR			> 19.602 	· · ·
1.0986892 		8554 			Watcher 		CR			20.397 		0.070
1.1985530 		8688 			Watcher 		CR			20.343 		0.080
1.3005326 		8923 			Watcher 		CR			20.550 		0.140
2.1764170 		22125 			Watcher 		CR			21.507 		0.170
2.4570745 		1040.76 		ROTSE 			CR			> 19.937 	· · ·
0.20221 		180 			MIRO 			IC			18.311 		0.149
0.26296 		900 			BFOSC 			IC			18.549 		0.070
0.30365 		900 			BFOSC 			IC			18.715 		0.055
0.34481 		900 			BFOSC 			IC			18.901 		0.070
0.35175 		360 			ANDICAM 		IC			18.940 		0.090
0.35683 		360 			ANDICAM 		IC			18.937 		0.062
0.36191 		360 			ANDICAM 		IC			19.052 		0.056
0.36692 		360 			ANDICAM 		IC			18.967 		0.043
0.37107 		600 			DFOSC 			IC			19.009 		0.048
0.37200 		360 			ANDICAM 		IC			18.987 		0.036
0.37888 		600 			DFOSC 			IC			19.050 		0.045
0.38632 		600 			DFOSC 			IC			19.118 		0.042
0.47240 		360 			ANDICAM 		IC			19.266 		0.059
0.47737 		360 			ANDICAM 		IC			19.310 		0.050
0.48238 		360 			ANDICAM 		IC			19.338 		0.052
0.48747 		360 			ANDICAM 		IC			19.361 		0.060
0.49254 		360 			ANDICAM 		IC			19.359 		0.048
1.38701 		600 			DFOSC 			IC			20.152 		0.039
1.39420 		600 			DFOSC 			IC			20.294 		0.042
1.40178 		600 			DFOSC 			IC			20.223 		0.049
2.37793 		900 			MOSCA 			IC			21.156 		0.041
0.36436 		360 			ANDICAM 		J 			18.090 		0.080
0.48350 		1177			PAIRITEL 		J 			18.638 		0.054
0.48494 		360 			ANDICAM 		J 			18.580 		0.090
0.51112 		2260			PAIRITEL 		J 			19.196 		0.114
0.56496 		683 			PAIRITEL 		J 			19.472 		0.141
0.62604 		2190			PAIRITEL 		J 			18.872 		0.054
1.53323 		706 			PAIRITEL 		J 			19.575 		0.138
1.61412 		2237 			PAIRITEL 		J 			9.725 		0.157
2.36277 		360 			ANDICAM 		J 			19.1 		· · ·
2.52278 		2237 			PAIRITEL 		J 			20.1 		· · ·
3.46425 		2213 			PAIRITEL 		J 			20.2 		· · ·
4.50410 		2266 			PAIRITEL 		J 			20.3 		· · ·
5.52048 		2260 			PAIRITEL 		J 			20.3 		· · ·
0.48350 		1177 			PAIRITEL 		H 			7.693		0.141
0.51112 		2260 			PAIRITEL 		H 			7.784		0.127
0.56496 		683 			PAIRITEL 		H 			7.890		0.136
5.52048 		2260 			PAIRITEL 		H 			19.7 		· · ·
0.62604 		2190 			PAIRITEL 		H 			7.978		0.136
1.53323 		706 			PAIRITEL 		H 			19.2 		· · ·
1.61412 		2237 			PAIRITEL 		H 			9.090		0.278
2.52278 		2237 			PAIRITEL 		H 			19.6 		· · ·
3.50562 		2237 			PAIRITEL 		H 			19.8 		· · ·
4.54525 		2260 			PAIRITEL 		H 			19.8 		· · ·
0.48350 		1177 			PAIRITEL 		KS			16.913 		0.174
0.51112 		2260 			PAIRITEL 		KS			17.162 		0.217
0.56496 		683 			PAIRITEL 		KS			17.197 		0.185
0.62604 		2190			PAIRITEL 		KS			17.326 		0.191
1.53323 		706 			PAIRITEL 		KS			> 18 		· · ·
1.61412 		2237 			PAIRITEL 		KS			18.148 		0.265
2.52278 		2237 			PAIRITEL 		KS			> 18.8 		· · ·
3.46425 		2213 			PAIRITEL 		KS			> 18.8 		· · ·
4.54525 		2260 			PAIRITEL 		KS			> 18.9 		· · ·
5.52048 		2260 			PAIRITEL 		KS			> 19.0 		· · ·
1169.785 		7864 			HST ACS 		F775WAB 		> 28.5 		· · ·
