	Table 8
Ins. 		Band 		T-T0 (s) 		Exp(s) 		Mag 		Err
BOOTES 		i 		32305 			1800 		19.94 		0.21
BOOTES 		i 		34310 			1800 		20.17 		0.24
BOOTES 		i 		40041 			2100 		20.51 		0.30
BOOTES 		i 		42288 			2700 		>19.97 		nan
BOOTES 		i 		45521 			2640 		>19.65 		nan
GTC 		Sloan-g 	2.1 × 107 		140×3 		>24.7 		nan
GTC 		Sloan-r	 	2.1 × 107 		90 		>24.3 		nan
GTC 		Sloan-i 	2.1 × 107 		90×4 		>24.6 		nan
GTC 		Sloan-g 	8.2 × 107 		150 × 7 	25.01 		0.20
GTC 		Sloan-r 	8.2 × 107 		120 × 7 	24.94 		0.24
GTC 		Sloan-i 	8.2 × 107 		90 × 8 		24.71 		0.32
Spitzer 	3.6µm 		2.9 × 107		100 × 72 	22.01 		1.00
Amur 		P\ 		37 			10 		14.26 		0.06
Amur 		P\ 		72 			10 		14.48 		0.06
Amur 		P\ 		111 			20 		14.06 		0.08
Amur 		P\ 		151 			30 		13.78 		0.13
Amur 		P\ 		206 			40 		13.86 		0.11
Amur 		P\ 		277 			50 		14.15 		0.07
Amur 		P\ 		348 			60 		14.61 		0.06
Amur 		P\ 		443 			80 		14.70 		0.07
Amur 		P\ 		550 			100 		15.05 		0.13
Amur 		P\ 		672 			120 		15.23 		0.17
Tunka 		P\ 		1156 			180 		16.50 		0.35a
Tunka 		C 		2725 			180 		16.85 		0.09
Tunka 		V 		2924 			180 		17.06 		0.08
Tunka 		R 		2968 			180 		16.62 		0.08
Tunka 		V 		3172 			180 		17.59 		0.13
Tunka 		R 		3218 			180 		16.88 		0.09
Tunka 		V 		3426 			180 		17.49 		0.12
Tunka 		R 		3471 			180 		16.87 		0.09
Tunka 		V 		3691 			180 		17.49 		0.12
Tunka 		R 		3737 			180 		17.11 		0.11
Tunka 		V 		3941 			180 		17.56 		0.13
Tunka 		R 		3987 			180 		16.98 		0.10
Tunka 		V 		4188 			180 		17.76 		0.16
Tunka 		R 		4233 			180 		17.23 		0.12
Tunka 		P- 		4553 			180 		17.87 		0.23
Tunka 		P| 		4553 			180 		17.55 		0.14
Tunka 		P| 		4803 			180 		17.72 		0.15
Tunka 		P- 		4803 			180 		17.79 		0.22
Tunka 		P- 		5046 			180 		17.81 		0.22
Tunka 		P| 		5047 			180 		17.84 		0.17
Tunka 		P- 		5287 			180 		17.92 		0.24
Tunka 		P| 		5289 			180 		17.98 		0.19
Tunka 		P| 		5531 			180 		17.90 		0.17
Tunka 		P- 		5533 			180 		17.87 		0.23
Tunka 		P- 		5778 			180 		18.38 		0.32
Tunka 		P| 		5778 			180 		18.29 		0.23
Tunka 		P| 		6023 			180 		18.16 		0.21
Tunka 		P- 		6025 			180 		18.08	 	0.27
Tunka 		P| 		6289 			180 		18.19		0.21
Tunka 		P- 		6293 			180 		18.13 		0.28
Tunka 		P- 		6534 			180 		18.25 		0.30
Tunka 		P| 		6534 			180 		18.18 		0.21
Tunka 		P- 		6775 			180 		18.34 		0.31
Tunka 		P| 		6777 			180 		18.41 		0.25
Tunka 		P| 		7016 			180 		18.15 		0.21
Tunka 		P- 		7019 			180 		18.12 		0.27
Tunka 		P- 		7257 			180 		18.07 		0.27
Tunka 		P| 		7258 			180 		18.13 		0.21
Tunka 		P- 		7505 			180 		18.25 		0.30
Tunka 		P| 		7507 			180 		18.25 		0.22
Tunka 		P| 		7748 			180 		18.26 		0.22
Tunka 		P- 		7748 			180 		18.45 		0.34
Tunka 		P- 		7990 			180 		18.99 		0.45
Tunka 		P| 		7991 			180 		18.33 		0.24
Tunka 		P- 		8233 			180 		18.34 		0.31
Tunka 		P| 		8234 			180 		18.34 		0.24
Tunka 		P| 		8490 			180 		18.37 		0.24
Tunka 		P- 		8491 			180 		18.59 		0.36
Tunka 		P- 		8733 			180 		18.16 		0.28
Tunka 		P| 		8734 			180 		18.23 		0.22
Tunka 		P- 		8976 			180 		18.30 		0.31
Tunka 		P|	 	8977 			180 		18.35 		0.24
Tunka 		P- 		9228 			180 		18.43 		0.33
Tunka 		P| 		9229 			180 		18.40 		0.25
Tunka 		P| 		9471 			180		18.50 		0.26
Tunka 		P- 		9471 			180 		18.93 		0.43
Tunka 		P- 		9711 			180 		18.09 		0.27
Tunka 		P| 		9716 			180 		18.59 		0.28
Tunka 		P| 		9952 			180 		18.58 		0.28
Tunka 		P- 		9953 			180 		19.08 		0.47
Tunka 		P- 		10189 			180 		18.70 		0.38
Tunka 		P| 		10191 			180 		18.78 		0.31
Tunka 		P- 		10431 			180 		19.07 		0.47
Tunka 		P| 		10432 			180 		18.68 		0.30
Tunka 		P- 		10682 			180 		18.42 		0.33
Tunka 		P| 		10684 			180 		18.75 		0.31
Tunka 		P- 		10923 			180 		19.21 		0.50
Tunka 		P| 		10924 			180 		18.86 		0.33
Tunka 		P| 		11175 			180 		18.79 		0.32
Tunka 		P- 		11176 			180 		20.13 		0.75
Tunka 		P- 		11431 			180 		18.87 		0.42
Tunka 		P| 		11431 			180 		18.50 		0.26
Tunka 		P- 		11686 			180 		19.18 		0.49
Tunka 		P| 		11688 			180 		19.09 		0.38
Tunka 		P- 		11933 			180 		18.62 		0.37
Tunka 		P| 		11934 			180 		18.45 		0.26
Tunka 		P- 		12173 			180 		19.88 		0.67
Tunka 		P| 		12175 			180 		18.57 		0.28
Tunka 		P- 		12412 			180 		18.61 		0.37
Tunka 		P| 		12413 			180 		18.67 		0.29
Tunka 		P- 		12652 			180 		18.51 		0.35
Tunka 		P| 		12654 			180 		18.82 		0.32
Tunka 		P| 		12905 			180 		17.61 		0.14
Tunka 		P| 		13152 			180 		18.32 		0.23
Tunka 		P- 		13394 			180 		18.29 		0.31
Tunka 		P| 		13396 			180 		18.70 		0.30
Tunka 		P| 		13638 			180 		18.87 		0.33
Tunka 		P| 		13882 			180 		19.07 		0.37
Tunka 		P| 		14119 			180 		18.78 		0.32
Tunka 		P| 		14347 			180 		18.73 		0.31
Tunka 		P| 		14586 			180 		18.50 		0.26
Tunka 		P| 		14819 			180 		18.91 		0.34
Tunka 		P| 		15059 			180 		20.17 		0.68
Tunka 		P| 		15301 			180 		19.06 		0.37
Tunka 		P| 		15550 			180 		19.81 		0.56
Tunka 		P| 		15799 			180 		18.97 		0.35
Tunka 		P| 		16057 			180 		19.91 		0.59
Tunka 		P| 		16302 			180 		18.54 		0.27
Tunka 		P| 		16553 			180 		20.11 		0.66
Kislovodsk 	C 		22078 			1080b 		19.74 		0.13
Kislovodsk 	R 		22078 			1080c 		19.42 		0.22
Kislovodsk 	C 		23985 			1980d 		19.42 		0.13
Kislovodsk 	R 		24382 			1800e 		19.19 		0.22
Kislovodsk 	C 		26759 			1620f 		19.78 		0.13
Kislovodsk 	R 		26759 			2160g 		19.88 		0.22
