time,mag,err,band,gcn
021004   20  05  28,18.06,0.05,Rc,1606
021004   20  41  33,18.09,0.05,Rc,1606
021004   21  25  37,18.17,0.05,Rc,1606
021004   21  58  50,18.35,0.05,Rc,1606
021004   23  08  06,18.39,0.05,Rc,1606
021004   23  41  19,18.54,0.05,Rc,1606
021005   00  03  05,18.57,0.05,Rc,1606
021004   19  09  24,18.33,0.07,V,1606
021004   19  42  55,18.34,0.07,V,1606
021004   20  19  36,18.43,0.07,V,1606
021004   20  52  43,18.45,0.07,V,1606
021004   21  02  35,18.6,0.07,V,1606
021004   21  36  45,18.66,0.07,V,1606
021004   22  09  46,18.82,0.07,V,1606
021004   23  27  40,18.89,0.07,V,1606
021004   23  52  09,18.87,0.07,V,1606
021004   19  20  49,18.67,0.07,V,1606
021004   19  54  03,18.78,0.1,B,1606
021004   20  30  35,18.77,0.1,B,1606
021004   21  14  29,18.98,0.1,B,1606
021004   21  47  49,19.1,0.1,B,1606
021004   22  20  46,19.05,0.1,B,1606
021004   23  30  11,19.26,0.1,B,1606
Oct 6.062,19.72,0.04,R,1607
Oct 6.058,19.22,0.04,I,1607
2002 Oct 04 22:04:44.5 UT JD(2452552.41996),18.29,0,R,1615
2002 Oct 04 22:12:01.7 UT JD(2452552.42502),18.37,0,R,1615
2002 Oct 04 22:20:32.3 UT JD(2452552.43093),18.4,0,R,1615
2002 Oct 04 23:51:04.3 UT JD(2452552.49380),18.67,0,R,1615
2002 Oct 04 23:57:13.2 UT JD(2452552.49807),18.65,0,R,1615
2002-10-05.840498,20.06,0.06,V,1616
2002-10-05.865937,19.52,0.05,R,1616
2002-10-05.884722,19.1,0.1,I,1616
2002-10-05.863102,18.4,0.1,J,1616
2002-10-05.909583,16.4,0.1,K,1616
2002-10-06.062256,20.78,0.1,V,1616
2002-10-06.083842,19.89,0.07,R,1616
2002-10-06.116319,18.5,0.1,J,1616
2002-10-06.159548,17.1,0.3,K,1616
Oct 8	07:05,20.48,0.03,R,1618
Oct 9	04:21,20.72,0.04,R,1618
Oct 8.225,20.89,0.03,V,1622
Oct 10.072,18.8,0.05,H,1623
Oct 10.105,21.05,0.05,R,1623
Oct 10.115,22.12,0.05,B,1623
Oct 5 070305 to 094220,19.1,0.2,R,1628
Oct 5 01:37 UT,18.6,0,R,1633
Oct 5 01:37 UT,19,0,B,1633
Oct 9 06:46:17 to 08:09:02,21.2,0.2,R,1638
Oct 16.979,21.65,0.12,I,1645
Oct 16.942,22.38,0.2,R,1645
Oct 16.962,22.49,0.07,V,1645
12 Oct 07:18 UT,22.6,0.11,B,1652
12 Oct 06:23 UT,21.95,0.07,V,1652
12 Oct 04:41 UT,21.47,0.09,R,1652
12 Oct 05:31 UT,21.23,0.18,I,1652
Oct 8 20:49:56 and 22:35:14 UT,20.9,0.3,Rc,1654
Oct 26.25,23.39,0.12,R,1661
29 Nov (nxs) 15x180s,24.36,0.18,Rc,1717
29 Nov 5x450s,24.53,0.18,V,1717
30 Nov 14x120s,23.9,0,Ic,1717
