COATLI observations of GRB 180205A
ti (s) 		tf (s)		texp (s)	w (AB)
850.5 		855.5 		5.0 		16.564 ± 0.034
860.7 		865.7 		5.0 		16.497 ± 0.034
869.7 		874.7 		5.0 		16.512 ± 0.033
878.7 		883.7 		5.0 		16.567 ± 0.034
891.1 		896.1 		5.0 		16.583 ± 0.035
900.1 		905.1 		5.0 		16.548 ± 0.034
909.1 		914.1 		5.0 		16.566 ± 0.035
918.1 		923.1 		5.0 		16.576 ± 0.034
927.1 		932.1 		5.0 		16.654 ± 0.037
936.1 		941.1 		5.0 		16.652 ± 0.036
945.1 		950.1 		5.0 		16.605 ± 0.035
955.2 		960.2 		5.0 		16.604 ± 0.039
964.2 		969.2 		5.0 		16.670 ± 0.037
973.2 		978.2 		5.0 		16.735 ± 0.038
982.2 		987.2 		5.0 		16.687 ± 0.037
991.2 		996.2 		5.0 		16.677 ± 0.037
1000.2 		1005.2 		5.0 		16.715 ± 0.038
1018.2 		1023.2 		5.0 		16.769 ± 0.040
1027.2 		1032.2 		5.0 		16.728 ± 0.038
1036.2 		1041.2 		5.0 		16.688 ± 0.037
1048.4 		1053.4 		5.0 		16.685 ± 0.037
1066.4 		1071.4 		5.0 		16.761 ± 0.040
1077.6 		1082.6 		5.0 		16.794 ± 0.040
1086.7 		1091.7 		5.0 		16.824 ± 0.041
1095.7 		1100.7 		5.0 		16.732 ± 0.038
1104.7 		1109.7 		5.0 		16.783 ± 0.040
1113.8 		1118.8 		5.0 		16.828 ± 0.041
1122.8 		1127.8 		5.0 		16.763 ± 0.040
1131.8 		1136.8 		5.0 		16.821 ± 0.041
1141.9 		1146.9 		5.0 		16.885 ± 0.045
1150.9 		1155.9 		5.0 		16.917 ± 0.045
1159.9 		1164.9 		5.0 		16.847 ± 0.042
1168.9 		1173.9 		5.0 		16.934 ± 0.044
1178.0 		1183.0 		5.0 		16.912 ± 0.044
1187.0 		1192.0 		5.0 		16.962 ± 0.046
1196.0 		1201.0 		5.0 		16.976 ± 0.046
1205.0		1210.0 		5.0 		16.919 ± 0.044
1214.0 		1219.0 		5.0 		16.892 ± 0.043
1223.0 		1228.0 		5.0 		16.873 ± 0.043
1233.0 		1238.0 		5.0 		16.873 ± 0.047
1242.0 		1247.0 		5.0 		16.878 ± 0.043
1251.0 		1256.0 		5.0 		16.885 ± 0.043
1261.7 		1266.7 		5.0 		17.029 ± 0.048
1270.7 		1275.7 		5.0 		16.981 ± 0.047
1279.7 		1284.7 		5.0 		16.917 ± 0.045
1288.7 		1293.7 		5.0 		16.926 ± 0.045
1297.7 		1302.7 		5.0 		16.905 ± 0.045
1306.7 		1311.7 		5.0 		16.994 ± 0.046
1315.8 		1320.8 		5.0 		17.009 ± 0.048
1325.9 		1330.9 		5.0 		16.983 ± 0.050
1334.9 		1339.9 		5.0 		17.007 ± 0.047
1343.9 		1348.9 		5.0 		17.069 ± 0.050
1352.9 		1357.9 		5.0 		17.028 ± 0.049
1361.9 		1366.9 		5.0 		17.060 ± 0.050
1381.2 		1386.2 		5.0 		17.016 ± 0.049
1399.2 		1404.2 		5.0 		17.100 ± 0.052
1418.3 		1423.3 		5.0 		17.011 ± 0.049
1427.3 		1432.3 		5.0 		17.072 ± 0.050
1436.3 		1441.3 		5.0 		17.028 ± 0.048
1447.1 		1452.1 		5.0 		17.019 ± 0.048
1465.1 		1470.1 		5.0 		17.110 ± 0.052
1474.2 		1479.2 		5.0 		17.054 ± 0.050
1483.1 		1488.1 		5.0 		17.034 ± 0.049
1492.1 		1497.1 		5.0 		17.068 ± 0.050
1806.7 		1889.7 		50.0 		17.362 ± 0.024
1898.7 		1986.7 		50.0 		17.445 ± 0.025
1995.7 		2106.7 		50.0 		17.421 ± 0.025
2115.7 		2199.7 		50.0 		17.456 ± 0.026
2208.7 		2291.7 		50.0 		17.581 ± 0.028
2300.7 		2382.7 		50.0 		17.583 ± 0.029
2391.7 		2513.7 		50.0 		17.591 ± 0.028
2522.7 		2614.7 		50.0 		17.663 ± 0.030
2624.7 		2707.7 		50.0 		17.683 ± 0.029
2719.7 		2800.7 		50.0 		17.762 ± 0.030
2810.7 		2891.7 		50.0 		17.653 ± 0.029
2901.7 		2995.7 		50.0 		17.738 ± 0.032
3004.7 		3087.7 		50.0 		17.744 ± 0.032
3096.7 		3178.7 		50.0 		17.870 ± 0.034
3187.7 		3271.7 		50.0 		17.870 ± 0.033
3290.7 		3381.7 		50.0 		17.846 ± 0.033
3390.7 		3472.7 		50.0 		17.832 ± 0.033
3481.7 		3833.7 		50.0 		17.885 ± 0.036
3842.7 		3925.7 		50.0 		17.905 ± 0.034
3934.7 		4017.7 		50.0 		17.815 ± 0.034
4118.7 		4212.7 		50.0 		17.961 ± 0.036
4221.7 		4303.7 		50.0 		17.959 ± 0.036
4313.7		4398.7 		50.0 		18.025 ± 0.039
4407.7 		4511.7 		50.0 		17.917 ± 0.035
4520.7 		4605.7 		50.0 		17.906 ± 0.034
4623.7 		4705.7 		50.0 		18.071 ± 0.039
4714.7 		4807.7 		50.0 		17.886 ± 0.034
5024.7 		5118.7 		50.0 		18.081 ± 0.038
5270.7 		5353.7 		50.0 		18.032 ± 0.038
5455.7 		5538.7 		50.0 		17.976 ± 0.037
5547.7 		5629.7 		50.0 		17.876 ± 0.034
5638.7 		5720.7 		50.0 		18.057 ± 0.038
5913.7 		6023.7 		50.0 		18.150 ± 0.041
6224.7 		6305.7 		50.0 		18.043 ± 0.037
6315.7 		6400.7 		50.0 		18.185 ± 0.041
6414.7 		6506.7 		50.0 		18.157 ± 0.043
6515.7 		6597.7 		50.0 		18.276 ± 0.046
6606.7 		6701.7 		50.0 		18.302 ± 0.045
6802.7 		6902.7 		50.0 		18.317 ± 0.048
6911.7 		6997.7 		50.0 		18.150 ± 0.042
7006.7 		7093.7 		50.0 		18.369 ± 0.046
7102.7 		7197.7 		50.0 		18.242 ± 0.043
7206.7 		7335.7 		50.0 		18.329 ± 0.047
7345.7 		7426.7 		50.0 		18.328 ± 0.046
7436.7 		7525.7 		50.0 		18.499 ± 0.052
7536.7 		7628.7 		50.0 		18.544 ± 0.056
7637.7 		7719.7 		50.0 		18.668 ± 0.063
7728.7 		7811.7 		50.0 		18.565 ± 0.058
10806.7		11270.7 	250.0 		18.871 ± 0.064
11279.7 	11758.7 	250.0 		18.881 ± 0.062
11767.7 	12221.7 	250.0 		19.158 ± 0.080
12230.7 	12946.7 	250.0 		19.152 ± 0.080
12957.7 	13447.7 	250.0 		19.177 ± 0.083
13456.7 	13934.7 	250.0 		19.321 ± 0.091
13943.7 	14438.7 	250.0 		19.167 ± 0.083
14447.7 	14939.7 	250.0 		19.176 ± 0.087
14949.7 	15401.7 	250.0 		19.177 ± 0.087
15412.7 	15893.7 	250.0 		19.169 ± 0.086
15902.7 	16386.7 	250.0 		19.272 ± 0.096
16395.7 	17053.7 	250.0 		19.227 ± 0.099
17577.7 	18071.7 	250.0 		19.083 ± 0.087
18080.7 	18648.7 	250.0 		19.346 ± 0.108
18657.7 	19226.7 	250.0 		19.311 ± 0.099
22264.7 	22916.7 	250.0 		19.505 ± 0.146
22925.7 	23495.7 	250.0 		19.343 ± 0.143
78412.8 	110409.6	29230.0 	20.309 ± 0.042
164722.3	197031.0 	3400.0 		21.122 ± 0.171
251164.0	290421.4 	19175.0 	21.280 ± 0.076
337589.2	376417.5 	20035.0 	21.498 ± 0.091
424008.9 	463199.5 	18930.0 	21.497 ± 0.101
