
GRB 		Obs Date 		Exptime 		Slit width 		Airmass 		Seeing 		?t 		Magacq 		Redshift 		Notes
GRB100724Aa d 	2010-07-24 		4.2/4.2/4.2 		1.0/0.9/0.9 		1.5–2.3 		0.7 		0.2 		19.52 		1.288 			B.17
GRB100728Be 	2010-07-29 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.5–1.1 		0.6 		22 		23 		2.106 			B.18
GRB100814A-1d 	2010-08-14 		0.9/0.9/0.9 		1.0/0.9/0.9 		1.9–1.7 		0.5 		0.9 		19 		1.439 			B.19
GRB100814A-2 	2010-08-14 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.5–1.2 		0.7 		2.1 		19 		1.439 			B.19
GRB100814A-3 	2010-08-18 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.2–1.0 		0.6 		98 		20 		1.439 			B.19
GRB100816Af 	2010-08-17 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.8–1.6 		0.8 		28.4 		21.6 		0.805 			B.20
GRB100901A 	2010-09-04 		2.4/2.4	/2.4 		1.0/0.9/0.9 		1.5–1.5 		1.9 		66 		>24 		1.408 			B.21
GRB101219A 	2010-12-19 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.1–1.7 		1.8 		3.7 		>24 		0.718 			B.22
GRB101219B-1a 	2010-12-20 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.6–2.6 		1.4 		11.6		20 		0.552 			B.23
GRB101219B-2a 	2011-01-05 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.2–2.0 		1.0 		394 		22.7 		0.552 			B.23
GRB101219B-3a 	2011-01-25 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.4–2.1 		0.7 		886 		>24 		0.552 			B.23
GRB110128A 	2011-01-28 		7.2/7.2/7.2 		1.0/0.9/0.9 		2.0–1.6 		0.6 		5.5 		22.5 		2.339 			B.24
GRB110407A 	2011-04-08 		9.6/9.6/9.6 		1.0/0.9/0.9 		1.4–1.3 		2.1 		12.4		23 		– 			B.25
GRB110709Bc 	2013-03-19 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.6–1.1 		0.9 		14835 		>24 		2.109 			B.26
GRB110715Aa 	2011-07-16 		0.6/0.6/0.6 		1.0/0.9/0.9 		1.1–1.1 		1.6 		12.3 		18.5 		0.823 			B.27
GRB110721Aa 	2011-07-22 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.2–1.4 		2.3 		28.7 		>24 		0.382 			B.28
GRB110808A 	2011-08-08 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.2–1.1 		1.0 		3.0 		21.2 		1.349 			B.29
GRB110818A 	2011-08-19 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.3 		0.9 		6.2 		22.3 		3.36 			B.30
GRB111005Aa c 	2013-04-01 		1.2/1.2/1.2 		1.0/0.9/0.9 		1.3–1.3 		0.7 		13052 		>24 		0.013			B.31
GRB111008A-1 	2011-10-09 		8.8/8.8/8.4 		1.0/0.9/0.9 		1.1–1.0 		1.3 		8.5 		21 		4.990 			B.32
GRB111008A-2 	2011-10-10 		8.0/8.0/7.2 		1.0/0.9/0.9 		1.3–1.0 		0.9 		20.1 		22 		4.990 			B.32
GRB111107A 	2011-11-07 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.8–1.5 		0.8 		5.3 		21.5 		2.893 			B.33
GRB111117Af 	2011-11-19 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.5–1.4 		0.7 		38 		>24 		2.211 			B.34
GRB111123A-1 	2011-11-24 		6.2/6.6/6.6 		1.0/0.9/0.9 		1.6–1.1 		0.8 		12.2 		>24 		3.152 			B.35
GRB111123A-2c 	2013-03-07 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.0–1.0 		0.5 		11266 		>24 		3.152 			B.35
GRB111129A 	2011-11-30 		3.6/3.6/3.6 		1.0/0.9/0.9 		1.6–2.1 		1.9 		8.7		>24 		1.080 			B.36
GRB111209A-1 	2011-12-10 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.1–1.2 		0.8 		17.7 		20.1 		0.677 			B.37
GRB111209A-2 	2011-12-29 		9.6/9.6/9.6 		1.0/0.9/0.9 		1.2–2.0 		1.0 		497 		23 		0.677 			B.37
GRB111211Aa 	2011-12-13 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.4–1.6 		0.6 		31 		19.5 		0.478 			B.38
GRB111228A 	2011-12-29 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.4–1.4 		0.7 		15.9 		20.1 		0.716 			B.39
GRB120118Bc 	2013-02-13 		3.6/3.6/3.6 		1.0/0.9/0.9 		1.1–1.0 		0.7 		9393 		>24 		2.943 			B.40
GRB120119A-1 	2012-01-19 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.1–1.1 		0.6 		1.4 		17 		1.728 			B.41
GRB120119A-2 	2012-01-19 		1.2/1.2/1.2 		1.0/0.9/0.9 		1.8–1.9 		0.5 		4.5 		20 		1.728 			B.41
GRB120119A-3c 	2013-02-26 		4.8/4.8/4.8 		1.0/0.9/0.6JH 		1.0–1.1 		1.8 		9694 		>24 		1.728 			B.41
GRB120211A-1c 	2013-02-17 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.1–1.4 		1.3 		8919 		>24 		2.346 			B.42
GRB120211A-2c 	2013-03-20 		3.6/3.6/3.6 		1.0/0.9/0.9 		1.1–1.2 		1.2 		9660 		>24 		2.346 			B.42
GRB120224A 	2012-02-25 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.7–2.1 		1.3 		19.8 		22.3 		1.10 			B.43
GRB120311Aa 	2012-03-11 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.6–1.4 		0.7 		3.7 		21.6 		0.350	 		B.44
GRB120327A-1a 	2012-03-27 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.6–1.4 		0.6 		2.1 		18.8 		2.815 			B.45
GRB120327A-2a 	2012-03-28 		4.2/4.2/4.2 		1.0/0.9/0.9 		1.0–1.1 		0.6 		29 		22.5 		2.815 			B.45
GRB120404A 	2012-04-05 		9.6/9.6/9.6 		1.0/0.9/0.9JH 		1.7–1.3 		1.3 		15.7 		21.3 		2.876 			B.46
GRB120422A 	2012-04-22 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.3 		0.7 		16.5 		22 		0.283 			B.47
GRB120712A 	2012-07-13 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.5–2.5 		1.5 		10.4 		21.5 		4.175 			B.48
GRB120714B 	2012-07-15 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.5–1.2 		1.2 		7.8 		22.1 		0.398 			B.49
GRB120716Aa 	2012-07-19 		3.6/3.6/3.6 		1.0/0.9/0.9JH 		1.8–2.6 		1.1 		62 		20.9 		2.486 			B.50
GRB120722Ab 	2012-07-22 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.3 		1.2 		10.3 		23.6 		0.959 			B.51
GRB120805Ab 	2012-08-14 		3.6/3.6/3.6 		1.0/0.9/0.9JH 		1.3–1.7 		0.9 		218		>24 		3.9 			B.52
GRB120815Aa 	2012-08-15 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.3–1.4 		0.7 		1.69 		18.9 		2.358 			B.53
GRB120909Ad 	2012-09-09 		1.2/1.2/1.2 		1.0/0.9/0.9 		1.6–1.6 		1.6 		1.7 		21 		3.929 			B.54
GRB120923A 	2012-09-23 		9.6/9.6/9.6 		1.0/0.9/0.9JH 		1.2–1.4 		1.0 		18.5 		>24 		7.84 			B.55
GRB121024A 	2012-10-24 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.2–1.1 		0.6 		1.8 		20 		2.300 			B.56
GRB121027A 	2012-10-30 		8.4/8.4/8.4 		1.0/0.9/0.9 		1.3–1.3 		1.3 		69.4 		21.15 		1.773 			B.57
GRB121201A 	2012-12-02 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.1–1.1 		1.1 		12.9 		23 		3.385 			B.58
GRB121229A 	2012-12-29 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.4–1.2 		1.5 		2 		21.5 		2.707 			B.59
GRB130131Bc 	2013-03-09 		7.2/7.2/7.2 		1.0/0.9/0.9JH 		1.3–1.6 		1.1 		874 		>24 		2.539 			B.60
GRB130408Aa 	2013-04-08 		1.2/1.2/1.2 		1.0/0.9/0.9 		1.0–1.0 		0.9 		1.9 		20 		3.758 			B.61
GRB130418A 	2013-04-18 		1.2/1.2/1.2 		1.0/0.9/0.9 		1.4–1.3 		1.2 		4.6 		18.5 		1.222 			B.62
GRB130427A 	2013-04-28 		1.2/1.2/1.2 		1.0/0.9/0.9JH 		1.8–1.8 		0.8 		16.5		19 		0.340 			B.63
GRB130427B 	2013-04-28 		1.2/1.2/1.2 		1.0/0.9/0.9JH 		1.2–1.0 		1.0 		20.3 		22.7 		2.780 			B.64
GRB130603Bf 	2013-06-04 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.4–1.4 		1.1 		8.2 		21.5 		0.356 			B.65
GRB130606A 	2013-06-07 		4.2/4.2	/4.2 		1.0/0.9/0.9JH 		1.7–1.9 		0.9 		7.1 		19 		5.91 			B.66
GRB130612A 	2013-06-12 		1.2/1.2	/1.2 		1.0/0.9/0.9 		1.3–1.3 		1.5 		1.1 		21.5 		2.006		 	B.67
GRB130615A 	2013-06-15 		1.2/1.2/1.2 		1.0/0.9/0.9 		2.1–2.2 		1.0 		0.8 		21 		2.9 			B.68
GRB130701A 	2013-07-01 		1.2/1.2/1.2 		1.0/0.9/0.9JH 		2.0–2.0 		1.4 		5.5 		19.9 		1.155 			B.69
GRB130925A 	2013-09-25 		5.88/6.0/6.9 		1.0/0.9/0.9JH 		1.0–1.0 		0.6 		3.5 		>24 		0.347 			B.70
GRB131011Aa	2013-10-13 		4.5/4.5/4.5 		1.0/0.9/0.9 		1.1–1.1 		0.8 		34.2	 	>24 		1.874 			B.71
GRB131030A 	2013-10-31 		3.6/3.6/3.6 		1.0/0.9/0.9 		1.1–1.1 		1.1 		3.4 		18.0 		1.296 			B.72
GRB131103A 	2013-11-05 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.1–1.1 		1.0 		5.8 		20.48 		0.599 			B.73
GRB131105A 	2013-11-05 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.4 		0.8 		1.3 		22.4 		1.686 			B.74
GRB131117A 	2013-11-17 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.3–1.2 		1.7 		1.1 		20 		4.042 			B.75
GRB131231Aa 	2014-01-01 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.4–1.3 		0.9 		20.2		18.5 		0.642 			B.76
GRB140114Ac 	2014-03-28 		5.4/5.4/5.4 		1.0/0.9/0.9JH 		1.7–1.7 		1.2 		1746 		>24 		3.0 			B.77
GRB140213Aa 	2014-02-14 		1.2/1.2/1.2 		1.0/0.9/0.9JH 		1.5–1.5 		0.7 		5.8 		19.5 		1.208 			B.78
GRB140301A 	2014-03-02 		7.2/7.2/7.2 		1.0/0.9/0.9JH 		1.1–1.1 		0.9 		9 		23.1 		1.416 			B.79
GRB140311Aa 	2014-03-13 		7.6/6.3/8.4 		1.0/0.9/0.9JH 		1.2–1.2 		0.6 		32.5 		>24 		4.954 			B.80
GRB140430Aa 	2014-04-30 		1.2/1.2/1.2 		1.0/0.9/0.9 		2.0–1.8 		1.6 		2.5 		19 		1.601 			B.81
GRB140506A-1 	2014-05-07 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.4 		0.7 		8.8 		20.9 		0.889 			B.82
GRB140506A-2 	2014-05-08 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.2–1.3 		0.7 		32.9 				0.889 			B.82
GRB140515A 	2014-05-16 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.3 		1.4 		15.5 		>24 		6.327 			B.83
GRB140614A 	2014-06-14 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.8–1.8 		0.7 		3.8 		21.5 		4.233 			B.84
GRB140622Af 	2014-06-22 		1.2/1.2/1.2 		1.0/0.9/0.9 		1.4–1.3 		1.0 		0.8 		>24 		0.959 			B.85
GRB141028Aa 	2014-10-29 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.5–1.4 		1.0 		15.4 		20 		2.332 			B.86
GRB141031Aa c 	2015-01-29 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.2–1.3 		0.8 		10912 		>24 		– 			B.87
GRB141109A-1 	2014-11-09 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.5–1.7 		0.8 		1.9 		19.2 		2.993 			B.88
GRB141109A-2 	2014-11-10 		4.3/4.3/4.5 		1.0/0.9/0.9JH 		1.7–2.0 		0.8 		25.4 				2.993 			B.88
GRB150206Aa 	2015-02-07 		2.4/2.4/2.4 		1.0/0.9/0.9 		2.1–1.9 		0.8 		10 		21.9 		2.087 			B.89
GRB150301B 	2015-03-02 		3.6/3.6/3.6 		1.0/0.9/0.9JH 		1.2–1.2 		1.1 		5.1 		21.0 		1.517 			B.90
GRB150403A 	2015-04-04 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.6–1.7 		0.7 		10.8 		19.1 		2.057 			B.91
GRB150423Ad f 	2015-04-23 		4.8/4.8/4.8 		1.0/0.9/0.9 		2.7–2.4 		1.4 		0.4 		>24 		1.394 			B.92
GRB150428A 	2015-04-28 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.6–1.5 		0.8 		3.7 		>24 		– 			B.93
GRB150514Aa 	2015-05-15 		2.4/2.4/2.4 		1.0/0.9/0.9 		2.3–2.1 		0.9 		28.4 		19.5 		0.807 			B.94
GRB150518Aa 	2015-05-20 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.3–1.3 		1.7 		30.7 		>24 		0.256 			B.95
GRB150616Aa c 	2015-09-12 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.2–1.1 		1.2 		2092 		>24 		1.188 			B.96
GRB150727A 	2015-07-28 		3.6/3.6/3.6 		1.0/0.9/0.9JH 		1.2–1.2 		1.4 		5.0 		20.5		0.313 			B.97
GRB150821Ad 	2015-08-21 		2.4/2.4/2.4 		1.0/0.9/0.9 		2.0–1.8 		1.3 		0.2 		16 		0.755 			B.98
GRB150910A 	2015-09-11 		1.8/1.8/1.8 		1.0/0.9/0.9JH 		1.9–1.9 		1.3 		20.1 		21.2 		1.359 			B.99
GRB150915A 	2015-09-16 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.1–1.1 		1.6 		3.3 		23 		1.968 			B.100
GRB151021Ad 	2015-10-21 		4.2/4.2/4.2 		1.0/0.9/0.9 		1.0–1.1 		1.4 		0.75 		18.2 		2.330 			B.101
GRB151027B 	2015-10-28 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.5–1.7 		1.2 		5 		20.5 		4.063 			B.102
GRB151029A 	2015-10-29 		1.2/1.2/1.2 		1.0/0.9/0.9JH 		1.9–1.7 		1.1 		1 		20 		1.423 			B.103
GRB151031Ad 	2015-10-31 		4.2/4.2/4.2 		1.0/0.9/0.9 		1.1–1.1 		1.1 		0.3 		20.4 		1.167 			B.104
GRB160117B 	2016-01-18 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.1–1.2 		1.1 		13.5 		20.8 		0.870 			B.105
GRB160203Ad 	2016-02-03 		6.6/6.6/6.6 		1.0/0.9/0.9 		1.0–1.8 		1.0 		0.3 		18 		3.518 			B.106
GRB160228Ac 	2016-03-12 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.7–1.7 		1.0 		296 		>24 		1.640 			B.107
GRB160303Af 	2016-03-04 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.6–1.5 		0.8 		19.1 		>24 		– 			B.108
GRB160314A 	2016-03-15 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.3–1.3 		0.8 		13.0 		21.7 		0.726 			B.109
GRB160410Ad f 	2016-04-10 		1.8/1.8/1.8 		1.0/0.9	/0.9 		2.5–2.3 		0.5 		0.15 		20.3 		1.717 			B.110
GRB160425A 	2016-04-26 		4.8/4.8/4.8 		1.0/0.9/0.9JH		1.3–1.3 		0.5 		7.2 		21.1 		0.555 			B.111
GRB160625Ba	2016-06-27 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.3–1.3 		0.7 		30 		19.1 		1.406 			B.112
GRB160804A-1a 	2016-08-04 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.4–1.3 		0.6 		22.4 		21.2 		0.736 			B.113
GRB160804A-2a c 2016-08-27 		3.6/3.6/3.6 		1.0/0.9/0.9JH 		1.9–1.8 		0.6 		574 		>24 		0.736 			B.113
GRB161001A 	2016-10-01 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.2–1.3 		0.5 		6.1 		>24 		0.891 			B.114
GRB161007Ac 	2016-10-14 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.6–1.6 		0.7 		323 		>24 		– 			B.115
GRB161014A 	2016-10-15 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.1–1.2 		0.5 		11.6		21.4 		2.823 			B.116
GRB161023Aa 	2016-10-24 		1.2/1.2/1.2 		1.0/0.9/0.9JH 		1.2–1.2 		0.9 		3 		17.5 		2.710 			B.117
GRB161117A 	2016-11-17 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.8–1.6 		2.6 		0.73 		19 		1.549 			B.118
GRB161219B 	2016-12-21 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.1–1.1 		0.9 		35.7 		19.5 		0.146 			B.119
GRB170113A 	2017-01-14 		4.8/4.8/4.8 		1.0/0.9/0.9JH 		1.5–1.4 		0.9 		15.23 		21.7 		1.968 			B.120
GRB170202A 	2017-02-03 		2.4/2.4/2.4 		1.0/0.9/0.9JH 		1.3–1.2 		0.7 		9.7 		20.8 		3.645 			B.121
