Table 2. UVOT data.
Sequence 		Obs/Filter 	Start time (UT) 		End time (UT)			Exposure (s)	Start time a		mag b		err
00214805001		UVOT/UVW1	2006-06-15 04:29:34 		2006-06-15 07:44:28 		375 		56745 			19.17 		0.26
00214805001		UVOT/U 		2006-06-15 04:31:52 		2006-06-15 07:45:29 		187 		56883.5 		19.29 		0.21
00214805001		UVOT/B 		2006-06-15 04:33:03 		2006-06-15 07:46:31 		187 		56954 			19.90 		0.22
00214805001		UVOT/VW2 	2006-06-15 04:34:16 		2006-06-15 07:50:26 		753 		57027 			19.63 		0.27
00214805001		UVOT/V 		2006-06-15 04:38:49 		2006-06-15 07:51:28 		187 		57300.5 		>19.80		 –
00214805001		UVOT/UVM2 	2006-06-15 04:40:02 		2006-06-15 07:54:02 		502 		57373 			18.75 		0.33
00214805001		UVOT/UVW1 	2006-06-15 09:18:34 		2006-06-15 12:34:28 		474 		74085 			19.35 		0.22
00214805001		UVOT/U 		2006-06-15 09:20:52 		2006-06-15 12:35:59 		237 		74223.5 		19.33 		0.19
00214805001		UVOT/B 		2006-06-15 09:22:04 		2006-06-15 12:37:32 		237 		74295 			20.35 		0.27
00214805001		UVOT/UVW2 	2006-06-15 09:23:15 		2006-06-15 12:43:26 		950 		74366.5 		19.75 		0.60
00214805001		UVOT/V 		2006-06-15 09:27:49 		2006-06-15 12:44:59 		237 		74640 			19.77 		0.35
00214805001		UVOT/UVM2 	2006-06-15 09:28:60 		2006-06-15 12:49:02 		648 		74711 			19.04 		0.37
00214805001		UVOT/UVW1 	2006-06-15 14:07:33 		2006-06-15 17:24:57 		769 		91424 			19.68 		0.23
00214805001		UVOT/U 		2006-06-15 14:11:51 		2006-06-15 17:27:15 		384 		91682.5 		19.61 		0.18
00214805001		UVOT/B 		2006-06-15 14:14:04 		2006-06-15 17:29:32 		384 		91815 			20.48 		0.23
00214805001		UVOT/UVW2 	2006-06-15 14:16:18 		2006-06-15 17:38:25 		1540		91949.5 		20.52 		0.43
00214805001		UVOT/V 		2006-06-15 14:24:52 		2006-06-15 17:40:44 		384 		92463 			>20.30		 –
00214805001		UVOT/UVM2 	2006-06-15 14:27:03 		2006-06-15 17:47:03 		1086		92594.5 		19.78 		0.60
00214805001		UVOT/UVW1 	2006-06-15 18:56:33 		2006-06-15 22:13:57 		779 		108764 			20.45 		0.32
00214805001		UVOT/U 		2006-06-15 19:01:03 		2006-06-15 22:16:13 		389 		109034 			20.72 		0.35
00214805001		UVOT/B 		2006-06-15 19:03:19 		2006-06-15 22:18:31 		387 		109170 			20.77 		0.27
00214805001		UVOT/UVW2 	2006-06-15 19:05:37 		2006-06-15 22:27:27 		1560		109308 			20.50 		0.40
00214805001		UVOT/V 		2006-06-15 19:14:33 		2006-06-15 22:29:45 		389 		109844 			>20.30		 –
00214805001		UVOT/UVM2 	2006-06-15 19:16:49 		2006-06-15 22:36:01 		1101		109980 			20.47 		0.74
00214805002		UVOT/UVW2 	2006-06-16 01:32:19 		2006-06-17 21:03:49 		9481		132510 			21.25 		0.19
00214805002		UVOT/UVW1	2006-06-16 00:08:07 		2006-06-17 22:28:05 		7050		127458 			21.24 		0.16
00214805002		UVOT/U 		2006-06-16 00:10:31 		2006-06-17 22:30:21 		3516		127602 			21.66 		0.26
00214805002		UVOT/B 		2006-06-16 00:11:44 		2006-06-17 22:32:38 		3520		127675 			>22.50		 –
00214805002		UVOT/V 		2006-06-16 00:17:41 		2006-06-17 22:43:51 		3520		128032 			21.42 		0.34
00214805002		UVOT/UVM2 	2006-06-16 00:18:54 		2006-06-17 22:50:02 		9880		128105 			21.51 		0.21
00214805003		UVOT/UVW2 	2006-06-18 00:13:06 		2006-06-20 21:20:60 		13506 		300557 			22.74 		0.31
00214805003		UVOT/UVW1 	2006-06-18 00:03:41 		2006-06-20 22:44:55 		10151 		299992 			22.71 		0.36
00214805003		UVOT/U 		2006-06-18 00:08:19 		2006-06-20 22:47:13 		4937 		300270 			22.20 		0.34
00214805003		UVOT/B 		2006-06-18 00:10:42 		2006-06-20 22:49:30 		4741 		300413 			>22.70		 –
00214805003		UVOT/V 		2006-06-18 00:22:20 		2006-06-20 23:00:48 		4674 		301111 			>21.70 		 –
00214805003		UVOT/UVM2 	2006-06-18 00:24:42 		2006-06-20 23:07:02 		12910		301253 			22.73 		0.33
00214805007–09		OT/V 		2006-06-24 15:27:35 		2006-06-26 23:18:25 		11028		873826 			>22.10		 –
00214805008–09		OT/B 		2006-06-25 00:50:17 		2006-06-26 23:30:02 		6959 		907588.5 		>23.10		 –
00214805011–27		OT/White 	2006-06-27 12:21:24 		2006-07-10 23:26:12 		9012 		1121855 		22.38 		0.22
00214805008–35		OT/U 		2006-06-25 00:44:08 		2006-08-02 00:00:02 		184470 		907219 			23.70 		0.23
00214805008–37		OT/UVW1 	2006-06-25 00:56:30 		2006-08-07 16:49:01 		17548 		907961.5 		>23.10		 –
00214805036–37		OT/UVM2 	2006-08-03 00:08:56 		2006-08-07 16:47:48 		5773 		4274707 		>22.50		 –
00214805036–37		OT/UVW2 	2006-08-03 01:58:13 		2006-08-07 21:38:01 		3802 		4281264 		>22.50		 –
																											
