Table 2. 
Photometric data used in this paper. Magnitudes are in the Vega system unless for griz filters that are in the AB system, and they are all not corrected for Galactic absorption. Errors are at 1? level.

t-t0 (s) 		Exp. (s) 		Mag 		Band 		Telescope 		t-t0 (s) 		Exp. (s) 		Mag 		Band 		Telescope
5283 			80 			19.90±0.18 	B 		PROMPT3 		3611 			10 			17.53±0.06 	Rc 		PROMPT4
6045 			80	 		20.09±0.23 	B 		PROMPT3 		3700 			10 			17.46±0.06 	Rc 		PROMPT4
7054 			80 			20.24±0.13 	B 		PROMPT3 		3788 			10 			17.46±0.06 	Rc 		PROMPT4
8383 			80 			20.36±0.13 	B 		PROMPT3 		3898 			10 			17.54±0.07 	Rc 		PROMPT4
9725 			80 			20.63±0.15 	B 		PROMPT3 		3986 			10 			17.54±0.06 	Rc 		PROMPT4
11060 			80 			20.87±0.18 	B 		PROMPT3 		4075 			10 			17.68±0.07 	Rc		PROMPT4
12385 			80 			21.06±0.26 	B 		PROMPT3 		4163 			10 			17.62±0.06 	Rc 		PROMPT4
14322 			80 			20.99±0.17 	B 		PROMPT3 		4252 			10 			17.69±0.06 	Rc 		PROMPT4
16926 			80 			21.31±0.22 	B 		PROMPT3 		5352 			10 			17.97±0.03 	Rc 		PROMPT4
19510 			80 			21.58±0.26 	B 		PROMPT3 		6090 			10 			18.09±0.04 	Rc 		PROMPT4
22189 			80 			21.51±0.27 	B 		PROMPT3 		7087 			10 			18.28±0.03 	Rc 		PROMPT4
24351 			80 			21.24±0.25 	B 		PROMPT3 		8374 			10 			18.53±0.03 	Rc 		PROMPT4
2873 			30 			18.49±0.10 	g 		Liverpool 		T. 			9735 			10 18.71±0.03 	Rc 		PROMPT4
3080 			30 			18.44±0.09 	g 		Liverpool 		T. 			11065 			10 18.85±0.04 	Rc 		PROMPT4
3289 			60 			18.52±0.06 	g 		Liverpool 		T. 			12394 			10 18.97±0.05 	Rc 		PROMPT4
3598 			60 			18.79±0.07 	g 		Liverpool 		T. 			14347 			10 19.08±0.04 	Rc 		PROMPT4
3916 			60 			18.90±0.08 	g 		Liverpool 		T. 			16951 			10 19.26±0.04 	Rc 		PROMPT4
4228 			60 			19.03±0.08 	g 		Liverpool 		T. 			19531 			10 19.28±0.04 	Rc 		PROMPT4
4588 			60 			19.12±0.08 	g 		Liverpool 		T. 			22304 			10 19.26±0.04 	Rc 		PROMPT4
4972 			60 			19.25±0.05 	g 		Liverpool 		T. 			24366 			10 19.36±0.06 	Rc 		PROMPT4
5212 			120 			19.30±0.05 	g 		Liverpool 		T. 			100804 			10 21.83±0.20 	Rc 		PROMPT4
5865 			180 			19.39±0.03 	g 		Liverpool 		T. 			822 			2 15.50±0.06 	Rc 		Watcher
6733 			120 			19.54±0.07 	g 		Liverpool 		T. 			950 			2 15.68±0.05 	Rc 		Watcher
7545 			180 			19.70±0.04 	g 		Liverpool 		T. 			1142 			2 15.91±0.05 	Rc 		Watcher
8440 			120 			19.84±0.05 	g 		Liverpool 		T. 			1311 			2 16.05±0.11 	Rc 		Watcher
31531 			540 			20.89±0.07 	g 		CQUEAN	 		1375 			2 			16.02±0.09 	Rc 		Watcher
3126 			177 			18.55±0.03 	g 		GROND 			1439 			2 			16.04±0.11 	Rc 		Watcher
3728 			348 			18.78±0.03 	g 		GROND 			1556 			2 			16.42±0.09 	Rc 		Watcher
4508 			347 			19.06±0.03 	g 		GROND 			1684 			2 			16.34±0.09 	Rc 		Watcher
5820 			871 			19.38±0.03 	g 		GROND 			2006 			2 			16.40±0.12 	Rc 		Watcher
7651 			871 			19.69±0.03 	g 		GROND 			2070 			2 			16.38±0.12 	Rc 		Watcher
9479 			866 			19.99±0.03 	g 		GROND 			2198 			2 			16.69±0.19 	Rc 		Watcher
11305 			873 			20.17±0.03 	g 		GROND 			2262 			2 			16.84±0.24 	Rc 		Watcher
13134 			867 			20.34±0.03 	g 		GROND 			2368 			30 			17.15±0.06 	Rc 		Liverpool T.
14959 			866 			20.48±0.03 	g 		GROND 			2465 			30 			17.26±0.06 	Rc 		Liverpool T.
732 			10 			15.35±0.01 	Rc 		PROMPT4 		3010 			30 			17.49±0.05 	Rc 		Liverpool T.
821 			10 			15.47±0.01 	Rc 		PROMPT4 		3218 			30 			17.54±0.05 	Rc 		Liverpool T.
912 			10 			15.53±0.02 	Rc 		PROMPT4 		3494 			60 			17.70±0.03 	Rc 		Liverpool T.
1000 			10 			15.66±0.02 	Rc 		PROMPT4 		3806 			60 			17.79±0.03 	Rc 		Liverpool T.
1091 			10 			15.82±0.02 	Rc 		PROMPT4 		4124 			60 			17.91±0.03 	Rc 		Liverpool T.
1180 			10 			15.90±0.02 	Rc 		PROMPT4 		4454 			60 			18.06±0.04 	Rc 		Liverpool T.
1271 			10 			15.96±0.02 	Rc 		PROMPT4 		4862 			60 			18.17±0.03 	Rc 		Liverpool T.
1360 			10 			16.06±0.02 	Rc 		PROMPT4 		5623 			120 			18.31±0.02 	Rc 		Liverpool T.
1451 			10 			16.17±0.03 	Rc 		PROMPT4 		6392 			180 			18.49±0.02 	Rc 		Liverpool T.
1540 			10 			16.22±0.03 	Rc 		PROMPT4 		7296 			120 			18.67±0.03 	Rc 		Liverpool T.
1632 			10 			16.33±0.03 	Rc 		PROMPT4 		8164 			180 			18.79±0.02 	Rc 		Liverpool T.
1722 			10 			16.36±0.03 	Rc 		PROMPT4 		9616 			300 			19.01±0.02 	Rc 		Liverpool T.
1814 			10 			16.58±0.04 	Rc 		PROMPT4 		9927 			300 			19.06±0.02 	Rc 		Liverpool T.
1901 			10 			16.56±0.03 	Rc 		PROMPT4 		1664 			90 			16.67±0.05 	Rc 		Liverpool T.
1990 			10 			16.61±0.03 	Rc 		PROMPT4 		7650 			25 			18.66±0.05 	Rc 		REM
2079 			10 			16.69±0.03 	Rc 		PROMPT4 		107780 			50 			22.20±0.10 	Rc 		REM
2177 			10 			16.79±0.04 	Rc 		PROMPT4 		90720 			1800 			22.11±0.15 	Rc 		NOT
2265 			10 			16.86±0.04 	Rc 		PROMPT4 		201180	 		1800 			23.06±0.25 	Rc 		NOT
2352 			10 			16.87±0.04 	Rc 		PROMPT4 		3438 			654 			17.50±0.12 	Rc 		Boote
2441 			10 			16.84±0.04 	Rc 		PROMPT4 		4104 			674 			17.65±0.12 	Rc 		Boote
2537 			10 			16.86±0.04 	Rc 		PROMPT4 		4812 			748 			17.82±0.13 	Rc 		Boote
2626 			10 			16.92±0.04 	Rc 		PROMPT4 		5520 			660 			18.24±0.21 	Rc 		Boote
2714 			10 			17.09±0.05 	Rc 		PROMPT4 		6186 			673 			18.17±0.21 	Rc 		Boote
2803 			10 			17.09±0.05 	Rc 		PROMPT4 		6858 			656 			18.59±0.29 	Rc 		Boote
2898 			10 			17.14±0.05 	Rc 		PROMPT4 		60769		 	240 			20.34±0.15 	Rc 		MITSuME
2989 			10 			17.30±0.06 	Rc 		PROMPT4 		29859 			540 			20.00±0.02 	r 		CQUEAN
3078 			10 			17.30±0.05 	Rc 		PROMPT4 		3126 			177 			17.56±0.03 	r 		GROND
3167 			10 			17.34±0.06 	Rc 		PROMPT4 		3728 			348 			17.56±0.03 	r 		GROND
3256 			10 			17.40±0.06 	Rc 		PROMPT4 		4508 			347 			18.06±0.03 	r 		GROND
3345 			10 			17.34±0.05 	Rc 		PROMPT4 		5820 			871 			18.39±0.03 	r 		GROND
3434 			10 			17.40±0.06 	Rc 		PROMPT4 		7651 			871 			18.69±0.03 	r 		GROND
9479 			866			18.99±0.03 	r 		GROND 			5561 			3600			17.35±0.03 	Ic		IAC80
11305 			873 			19.19±0.03 	r 		GROND 			5945 			3600	 		17.49±0.03 	Ic		IAC80
13134 			867 			19.32±0.03 	r 		GROND 			6319 			3600 			17.57±0.04 	Ic 		IAC80
14959 			866 			19.45±0.03 	r 		GROND 			6700 			3600 			17.62±0.05 	Ic 		IAC80
724 			10			14.64±0.01 	Ic		PROMPT5 		7073 			3600 			17.77±0.04 	Ic 		IAC80
821 			10 			14.84±0.02 	Ic		PROMPT5 		7456 			3600 			17.71±0.04 	Ic 		IAC80
911 			10 			14.88±0.02 	Ic 		PROMPT5 		7829 			3600 			17.84±0.04 	Ic 		IAC80
1000 			10 			15.05±0.02 	Ic 		PROMPT5 		8201 			3600 			17.90±0.04 	Ic 		IAC80
1091 			10 			15.15±0.02 	Ic 		PROMPT5 		8569 			3600 			17.96±0.06 	Ic 		IAC80
1181 			10 			15.27±0.02 	Ic 		PROMPT5 		8942 			3600 			18.12±0.08 	Ic 		IAC80
1271 			10 			15.35±0.02 	Ic 		PROMPT5 		9324 			3600 			17.94±0.13 	Ic 		IAC80
1361 			10 			15.40±0.03 	Ic 		PROMPT5 		2941 			30 			16.98±0.04 	Ic 		Liverpool T.
1451 			10 			15.47±0.03 	Ic 		PROMPT5 		3148 			30 			17.04±0.04 	Ic 		Liverpool T.
1541 			10 			15.51±0.03 	Ic 		PROMPT5 		3389 			60 			17.15±0.03 	Ic 		Liverpool T.
1632 			10 			15.65±0.03 	Ic 		PROMPT5 		3698 			60 			17.31±0.03 	Ic 		Liverpool T.
1723 			10 			15.74±0.04 	Ic 		PROMPT5 		4018 			60 			17.39±0.03 	Ic 		Liverpool T.
1814 			10 			15.96±0.04 	Ic 		PROMPT5 		4328 			60 			17.54±0.04 	Ic 		Liverpool T.
1903 			10 			15.95±0.04 	Ic 		PROMPT5 		4690 			60 			17.65±0.03 	Ic 		Liverpool T.
1993 			10 			15.94±0.04 	Ic 		PROMPT5 		5077 			60 			17.85±0.05 	Ic 		Liverpool T.
2082 			10 			16.02±0.04 	Ic 		PROMPT5 		5374 			120	 		17.88±0.03 	Ic 		Liverpool T.
2177 			10 			16.13±0.04 	Ic 		PROMPT5 		6105 			180 			18.03±0.03 	Ic 		Liverpool T.
2266 			10 			16.27±0.05 	Ic 		PROMPT5 		6898 			120 			18.11±0.03 	Ic 		Liverpool T.
2355 			10 			16.32±0.05 	Ic 		PROMPT5 		7779 			180 			18.14±0.03 	Ic 		Liverpool T.
2444 			10 			16.22±0.05 	Ic 		PROMPT5 		8614 			120 			18.26±0.03 	Ic 		Liverpool T.
2537 			10 			16.28±0.04 	Ic 		PROMPT5 		8942 			300 			18.34±0.02 	Ic 		Liverpool T.
2626 			10 			16.33±0.05 	Ic 		PROMPT5 		9254 			300 			18.41±0.02 	Ic 		Liverpool T.
2718 			10 			16.46±0.05 	Ic 		PROMPT5 		38229 			900 			20.01±0.12 	Ic 		Liverpool T.
2807 			10 			16.39±0.05 	Ic 		PROMPT5 		5451 			225 			17.43±0.04 	Ic 		SMARTS
2898 			10 			16.55±0.06 	Ic 		PROMPT5 		6030 			225 			17.55±0.04 	Ic 		SMARTS
2987 			10 			16.48±0.05 	Ic 		PROMPT5 		6881 			225 			17.71±0.04 	Ic 		SMARTS
3077 			10 			16.63±0.05 	Ic 		PROMPT5 		7452 			225 			17.75±0.04 	Ic 		SMARTS
3166 			10 			16.73±0.07 	Ic 		PROMPT5 		13631 			225 			18.43±0.04 	Ic 		SMARTS
3256 			10 			16.69±0.06 	Ic 		PROMPT5 		14203 			225 			18.54±0.04 	Ic 		SMARTS
3346 			10 			16.68±0.06 	Ic 		PROMPT5 		15054 			225 			18.51±0.04 	Ic 		SMARTS
3435 			10 			16.75±0.07 	Ic 		PROMPT5 		15624 			225 			18.56±0.04 	Ic 		SMARTS
3524 			10 			16.70±0.07 	Ic 		PROMPT5 		99214 			2160 			20.92±0.05 	Ic 		SMARTS
3614 			10 			16.80±0.07 	Ic 		PROMPT5 		106376		 	2160 			21.07±0.06 	Ic 		SMARTS
3704 			10 			16.74±0.06 	Ic 		PROMPT5 		193116 			2160 			21.45±0.07 	Ic 		SMARTS
3793 			10 			16.88±0.08 	Ic 		PROMPT5 		6480 			450 			17.63±0.04 	Ic 		CTIO
3898 			10 			16.84±0.06 	Ic 		PROMPT5 		14760 			450 			18.47±0.04 	Ic 		CTIO
3988 			10 			16.90±0.07 	Ic 		PROMPT5 		60769 			2640 			19.84±0.34 	Ic 		MITSuME
4078 			10 			17.01±0.08 	Ic 		PROMPT5 		30079 			360 			19.55± 0.01	i 		CQUEAN
4167 			10 			16.95±0.07 	Ic 		PROMPT5 		3126 			177 			17.07±0.03 	i 		GROND
4259 			10 			17.11±0.08 	Ic 		PROMPT5 		3728 			348 			17.30±0.03 	i 		GROND
5354 			10 			17.39±0.04 	Ic 		PROMPT5 		4508 			347 			17.59±0.03 	i 		GROND
6093 			10 			17.61±0.05 	Ic 		PROMPT5 		5820 			871 			17.92±0.03 	i 		GROND
7049 			10		 	17.67±0.04 	Ic 		PROMPT5 		7651 			871 			18.23±0.03 	i 		GROND
8378 			10			17.89±0.04 	Ic 		PROMPT5 		9479 			866 			18.52±0.03 	i 		GROND
9698 			10	 		18.07±0.04 	Ic 		PROMPT5 		11305		 	873 			18.67±0.03 	i 		GROND
11029			10 			18.17±0.05 	Ic 		PROMPT5 		13134 			867 			18.83±0.03 	i 		GROND
12372			10 			18.28±0.05 	Ic 		PROMPT5 		14959 			866 			18.96±0.03 	i 		GROND
14394			10 			18.40±0.04 	Ic 		PROMPT5 		807 			2 			15.53±0.09 	C 		Watcher
16927			10 			18.58±0.04 	Ic 		PROMPT5 		810 			2 			15.34±0.09 	C 		Watcher
19540 			10 			18.54±0.04 	Ic 		PROMPT5 		814 			2 			15.48±0.08 	C 		Watcher
22342 			10 			18.61±0.04 	Ic 		PROMPT5 		1091		 	30 			15.93±0.58 	C 		Watcher
24369 			10 			18.68±0.05 	Ic 		PROMPT5 		1387 			30 			15.94±0.36 	C 		Watcher
100848	 		10 			20.33±0.12 	Ic 		PROMPT5 		1568 			30 			16.45±0.64 	C 		Watcher
4425 			3600			17.12±0.03 	Ic 		IAC80
4809 			3600 			17.21±0.03 	Ic 		IAC80
5183 			3600 			17.30±0.03 	Ic 		IAC80
