GRB		GCN		Telescope
010921		1131		a 0.6 m
010921		1135		 hubble space
010921		1230		 arc 3.5-m
011121		1150		 ogle 1.3m
011121		1151		 ogle 1.3m
011121		1152		walter baade 6.5m
011121		1152		 ogle 1.3m
011121		1153		du pont 2.5m
011121		1154		 ogle 1.3m
011121		1156		r. subrahmanyan, australia
011121		1156		  australia
011121		1157		 ctio 0.9-m
011121		1160		 ogle 1.3m
011121		1163		  anglo-australian
011121		1164		magellan i baade
011121		1273		baade 6.5m magellan
011121		1463		 hubble space
011121		6486		 Large Binocular
011211		1197		 usnofs 1.0-m
011211		1199		 ogle 1.3-metre
011211		1200		yepun (vlt4) 8-m
011211		1204		  1.2-meter
011211		1209		6.5m walter baade
011211		1214		eso vlt-3 (melipal)
011211		1303		 usnofs 1.0-m
011211		1311		 hubble space
011211		1585		2.56-meter Nordic Optical
020124		1221		 palomar 48-inch
020124		1221		 mso 50-inch
020124		1221		 palomar 60-inch
020124		1224		2.5-m nordic optical
020124		1226		 0.60-m zeiss
020124		1228		 600mm automated
020124		1236		 bart robotic
020124		1236		 bart robotic
020124		1251		 nofs 1.0m
020405		1326		robotic mso 50-inch
020405		1329		 danish 1.5-m
020405		1333		robotic mso 50-inch
020405		1335		wise observatory 1m
020405		1337		eso vlt-3 (melipal)
020405		1340		 keck ii
020405		1345		eso vlt-3 (melipal)
020405		1424		 usnofs 1.0-m
020405		1431		eso vlt-3 (melipal)
020405		28550		 Zeiss-1000 1-m
020813		1472		magellan baade 6.5m
020813		1473		katzman automatic imaging
020813		1474		ctio 4m blanco
020813		1477		i 10 m
020813		1478		  1.0m
020813		1485		1.05 m schmidt
020813		1488		 rtt150 1.5m
020813		1491		katzman automatic imaging
020813		1497		iram 30 m
020813		1498		eso vlt-3 (melipal)
020813		1501		observatory (bao) 1.01-m
020813		1503		 usnofs 1.0-m
020813		1505		 60cm schmidt
020813		1505		1.1 meters azt-24
020813		1513		6.5m (magellan i)
020813		1528		  zeiss-1000
020813		1651		 1.54-m Danish
020813		1668		Katzman Automatic Imaging
020903		1533		 robotic 50-inch
020903		1535		 0.38-m Cassegrain
020903		1537		  25-cm
020903		1554		 Palomar 200-inch
020903		1554		 MSO 50-inch
020903		1554		 MDM 1.3-meter
020903		1557		 CTIO 4-m
020903		1560		  182cm
020903		1561		  182cm
020903		1563		  Asiago
020903		1571		 USNOFS 1.0-m
020903		1609		 Keck-I 10-m
020903		1631		 1.54-m Danish
020903		1761		 CTIO 4-m
021004		1564		48-inch Oschin/NEAT robotic
021004		1566		  0.30-m
021004		1567		Observatory (BAO) 1.01-m
021004		1569		Springs Observatory 2.3m
021004		1570		16-inch Meade LX200
021004		1571		 USNOFS 1.0-m
021004		1572		 Oschin 48"
021004		1573		2.56m Nordical Optical
021004		1575		  Ryle
021004		1576		Whipple Observatory 1.2m
021004		1579		  Hobby-Eberly
021004		1579		 9.2-m Hobby-Eberly
021004		1580		 1.5m RTT150
021004		1583		 USNOFS 1.0-m
021004		1583		  1.0m
021004		1585		2.56-meter Nordic Optical
021004		1586		Whipple Observatory 1.2m
021004		1587		2-m Himalayan Chandra
021004		1588		  Ryle
021004		1592		Strand 1.55m astrometric
021004		1595		ESO VLT-UT3 (Melipal)
021004		1597		2.56-meter Nordic Optical
021004		1598		Whipple Observatory 1.2m
021004		1599		Magellan 6.5m Baade
021004		1601		 NASA Infrared
021004		1603		 1.52-m Loiano
021004		1604		  Ryle
021004		1605		 Keck-I 10-m
021004		1606		RAN 1-m Zeiss
021004		1607		 3.6m TNG
021004		1611		 4.2-m WHT
021004		1612		  Ryle
021004		1614		  a
021004		1615		 1.20 meter
021004		1616		1.1 meters AZT-24
021004		1616		 60cm Schmidt
021004		1616		  AZT-8
021004		1619		James Clerk Maxwell
021004		1621		 a 0.15m
021004		1622		ESO VLT-UT3 (Melipal)
021004		1623		 3.6m TNG
021004		1627		James Clerk Maxwell
021004		1628		 SARA 0.9m
021004		1630		 USNOFS 1.0-m
021004		1635		ESO's 8.2-m VLT3
021004		1638		 SARA 0.9m
021004		1645		 3.6m TNG
021004		1654		 1-m Zeiss
021004		1661		Vatican Advanced Technology
021004		1717		  6-m
021004		5182		Tautenburg 1.34m Schmidt
021004		6851		 ESO-Very Large
021211		1733		 Palomar 48-inch
021211		1737		Katzman Automatic Imaging
021211		1738		 1.2m MSSS
021211		1738		 Oschin 48"
021211		1739		 Tautenburg Schmidt
021211		1742		James Clerk Maxwell
021211		1744		 ARC 3.5-meter
021211		1748		 1.05m Schmidt
021211		1749		Astronomical Observatory 0.65-m
021211		1751		 Magellan Baade
021211		1752		 0.64-m Richter-Slefogt
021211		1753		 USNOFS 1.0-m
021211		1758		 CTIO 4m
021211		1765		 ARC 3.5-meter
021211		1821		table: UT exposure
021211		2153		 ROTSE-IIIa robotic
030115		1805		  1.5-m
030115		1806		  1.2m
030115		1808		 ARC 3.5-meter
030115		1811		 1.82-m "Copernico"
030115		1820		Optical Observations, Swiss
030115		1820		 Swiss 1.2-meter
030115		1822		 NOFS 1.0m
030115		1822		 NOFS 1.55m
030115		1825		 Nagoya-SAAO 1.4m
030115		1832		James Clerk Maxwell
030115		1835		IRAM 30 m
030115		1848		 3.5m WIYN
030115		1856		0.6-meter Morehead Observatory
030115		1864		Westerbork Synthesis Radio
030115		1867		Westerbork Synthesis Radio
030226		1879		 Dupont 100"
030226		1881		 40-inch Swope
030226		1883		  Dupont
030226		1884		to Subaru 8.2m
030226		1885		 1-m Swope
030226		1890		 ANU 2.3m
030226		1892		 152 cm
030226		1894		Wendelstein 0.8 m
030226		1898		 ESO NTT
030226		1902		 1-m Swope
030226		1905		 Oschin 48"
030226		1908		  AT-64
030226		1909		ESO VLT-UT1 (Antu)
030226		1911		  Keck-II
030226		1916		 USNOFS 1.0-m
030226		1921		32-inch Tenagra II
030226		1925		  6-m
030226		1925		are presented below:
030226		1929		  AZT-8
030226		1933		 1.82-m "Copernico"
030226		1935		 2m RCC
030226		1940		 152 cm
030323		1948		 USNOFS 1.0-m
030323		1949		Mt. John 0.6m
030323		1949		 USNO 1.0m
030323		1951		Katzman Automatic Imaging
030323		1952		ROTSE-3B 0.45 meter
030323		1957		Palomar Oschin 1.2-m
030323		1960		 Danish 1.54m
030323		1966		 SARA 0.9m
030323		1968		 Palomar 1.2-m
030323		1973		 Danish 1.54m
030323		2006		South 8.1 m
030328		1974		 SSO 40-inch
030328		1977		  40-inch
030328		1979		Magellan 6.5-m Clay
030328		1980		Magellan 6.5-m Clay
030328		1981		 FORS1 at
030328		1984		Wise observatory 1m
030328		1990		 1.5-m Russian-Turkish
030328		1991		  AT-64
030328		1992		 Danish 1.54m
030328		1993		 Danish 1.54m
030328		2008		 152 cm
030328		2013		Magellan 6.5-m Clay
030328		2036		Magellan 6.5-m Clay
030328		2114		 USNOFS 1.0-m
030328		2192		  1.5m
030329		14456		 Palomar 60-inch
030329		14605		 Large Binocular
030329		14631		 1.34m Schmidt
030329		1985		 SSO 40-inch
030329		1995		ROTSE-3A 0.45 meter
030329		1998		S/N = 3)
030329		1999		Wise observatory 1m
030329		2000		 Tautenburg Schmidt
030329		2001		 1.5-m Russian-Turkish
030329		2003		152 cm Loiano
030329		2005		 Cassegrain 38-cm
030329		2005		  AZT-11
030329		2010		0.63 m Newton
030329		2010		0.30 m Newton
030329		2012		Magellan 6.5-m Clay
030329		2012		 FLWO 1.2-m
030329		2013		Magellan 6.5-m Clay
030329		2016		Campo Catino Automated
030329		2018		L. Whipple 1.2m
030329		2022		  1.5m
030329		2022		  2.1-m
030329		2023		 USNOFS 1.0-m
030329		2024		 1.5-m Russian-Turkish
030329		2028		 Cassegrain 38-cm
030329		2029		 Tautenburg Schmidt
030329		2033		 SARA 0.9m
030329		2034		  1-meter
030329		2040		 ARC 3.5-m
030329		2041		Magellan 6.5-m Clay
030329		2042		 RBO 0.6m
030329		2043		  Ryle
030329		2044		  25cm/f4.8
030329		2045		  1-meter
030329		2046		 1.5-m Russian-Turkish
030329		2048		 Tautenburg Schmidt
030329		2049		  1-meter
030329		2050		imaged Cassegrain 38-cm
030329		2051		 1.5-m Russian-Turkish
030329		2054		 1.5-m Russian-Turkish
030329		2056		 1 meter
030329		2059		 SARA 0.9m
030329		2062		 RBO 0.6m
030329		2063		Katzman Automatic Imaging
030329		2066		Morris W. Offit
030329		2066		  
030329		2067		imaged Cassegrain 38-cm
030329		2069		 SARA 0.9m
030329		2070		 1 meter
030329		2072		  Ryle
030329		2073		Giant Metrewave Radio
030329		2074		 0.72-m TNT
030329		2075		  1.5m
030329		2075		  2.1-m
030329		2077		  1.5m
030329		2077		  
030329		2079		 1.5-m Russian-Turkish
030329		2080		30 cm SC
030329		2082		 USNOFS 1.0-m
030329		2083		imaged Cassegrain 38-cm
030329		2084		  1.5m
030329		2086		 SARA 0.9m
030329		2087		 SARA 0.9m
030329		2088		James Clerk Maxwell
030329		2090		  Ryle
030329		2093		Magellan 6.5-m Clay
030329		2094		 1.5-m Russian-Turkish
030329		2097		imaged Cassegrain 38-cm
030329		2098		  1.5m
030329		2100		 SARA 0.9m
030329		2101		 SARA 0.9m
030329		2102		 50-cm Maksutov
030329		2105		 1.5-m Russian-Turkish
030329		2106		105 cm Schmidt
030329		2108		 1.5-m Russian-Turkish
030329		2109		 FLWO 1.2-m
030329		2111		50/70 cm Schmidt
030329		2112		 50-cn Maksutov
030329		2113		  60-cm
030329		2116		105 cm Schmidt
030329		2117		  Hobby-Eberly
030329		2117		  Hobby-Eberly
030329		2118		  1.5-m
030329		2119		 1.5-m Russian-Turkish
030329		2122		ESO VLT-UT1 (Antu)
030329		2124		 182cm Copernico
030329		2131		 Shane 3-m
030329		2136		  152cm
030329		2142		SAO RAS 6-meter
030329		2142		  6-meter
030329		2143		 SARA 0.9m
030329		2143		generous contributions of
030329		2146		Mid time, UT
030329		2160		  1.5m
030329		2161		observations at RTF-32
030329		2161		  RTF-32
030329		2161		  RTF-32
030329		2167		ESO VLT-UT1 (Antu)
030329		2169		  Keck-II
030329		2171		  1.5m
030329		2179		 2m RCC
030329		2191		(GCN 1985) 1.5m
030329		2193		0.4-m Brorfelde Schmidt
030329		2198		 1.5-m Russian-Turkish
030329		2204		 1.5-m Russian-Turkish
030329		2219		  1.5m
030329		2220		 1.5-m Russian-Turkish
030329		2242		2.2 m (+BUSCA)
030329		2244		 FLWO 1.2-m
030329		2245		  2.1m
030329		2246		a 82 cm
030329		2254		32-inch Tenagra II
030329		2255		32-inch Tenagra II
030329		2259		 FLWO 1.2-m
030329		2260		 1.5-m Russian-Turkish
030329		2265		  1.5m
030329		2288		  1.5m
030329		2299		 1.5-m Russian-Turkish
030329		2305		Kosugi at Subaru
030329		2305		 Subaru 8.2m
030329		2424		 22-m radio
030329		2517		Keck I 10-m
030329		30982		  JAST/T80
030329		5182		Tautenburg 1.34m Schmidt
030329		7415		 Lulin 1m
030429		2178		  ROTSE-IIIa
030429		2184		Mt. John 0.6m
030429		2184		 USNOFS 1.55m
030429		2190		  AT-64
030429		2195		 Nagoya-SAAO 1.4m
030429		2208		 1.5-m Russian-Turkish
030429		2214		 USNOFS 1.0-m
030528		2252		 a 25-cm
030528		2253		  0.20-m
030528		2253		 and 0.25-m
030528		2253		  0.25-m
030528		2257		 a 1.01-m
030528		2258		 0.72-m TNT
030528		2267		 USNOFS 1.0-m
030528		2275		Palomar 200-inch Hale
031203		10533		  Australia
031203		2463		  1.3m
031203		2465		Belgian MERCATOR 1.2-meter
031203		2470		  1.0m
031203		2471		  NTT
031203		2471		  REM
031203		2471		  VLT
031203		2476		  VLT-UT1
031203		2482		  Baade
031203		2486		 SMARTS 1.3m
031203		2493		 Danish 1.5-m
031203		2544		 CTIO 4m
040924		2734		robotic Palomar 60-inch
040924		2737		3564 MASTER robotic
040924		2738		3564 MASTER robotic
040924		2739		 0.6 m
040924		2740		 Russian-Turkish 1.5-m
040924		2742		 8.2m Subaru
040924		2743		  1-m
040924		2743		  1-m
040924		2744		  1-m
040924		2746		Westerbork Synthesis Radio
040924		2747		2.56-m Nordic Optical
040924		2748		Katzman Automatic Imaging
040924		2749		 Russian-Turkish 1.5-m
040924		2750		 8.2m Subaru
040924		2751		  30-cm
040924		2752		 Russian-Turkish 1.5-m
040924		2753		 38-cm Cassegrain
040924		2759		Westerbork Synthesis Radio
040924		2811		 USNOFS 1.0-m
040924		2833		Filter Exposure Magnitude
041006		2765		 SSO 40-inch
041006		2772		  30-cm
041006		2773		 MASTER robotic
041006		2773		observations on small
041006		2774		James Clerk Maxwell
041006		2775		  1.5m
041006		2778		Morris Offit 20in
041006		2778		  
041006		2782		 Italian 3.6m
041006		2784		  
041006		2785		 Lulin 1-m
041006		2790		SUBJECT: GRB041006: Liverpool
041006		2790		 2.0m Liverpool
041006		2791		 Gemini North
041006		2792		Vatican Advanced Technology
041006		2794		  1.04-m
041006		2798		  AT-64
041006		2799		SARA 0.9 m
041006		2801		 USNOFS 1.0-m
041006		2802		2.56m Nordic Optical
041006		2804		 152 cm
041006		2814		  1.5-m
041006		2821		 1.5-m Russian-Turkish
041006		2826		 Russian-Turkish 1.5-m
041006		2829		 6.5m Clay
041006		2829		Vatican Advanced Technology
041006		2830		Filter Exposure Magnitude
041006		2832		GETS (0.25-m robotic
041006		3139		 1.5-m Russian-Turkish
041006		4085		 Tautenburg Schmidt
041006		4111		 Lulin 1m
041219		2867		robotic Palomar 60-inch
041219		2871		 USNOFS 1.0-m
041219		2874		swift  
041219		2882		  30-cm
041219		2883		swift  
041219		2885		robotic Palomar 60-inch
041219		2886		swift  
041219		2887		  1.04m
041219		2889		  RAPTOR-S
041219		2891		Lulin (Taiwan, 1-m
041219		2891		(China, 0.8 m
041219		2893		Keck I 10-m
041219		2894		Westerbork Synthesis Radio
041219		2895		Westerbork Synthesis Radio
041219		2900		  PROMPT
041219		2900		commissioning of PROMPT
041219		2905		25 cm TAROT
041219		2916		 ARC 3.5-meter
041219		2924		 USNOFS 1.0-m
050126		2986		 MASTER robotic
050126		2987		swift  
050126		2988		 MASTER robotic
050126		3068		 Palomar 200-inch
050126		3088		 Keck II
050215		3025		swift  
050215		3026		swift  
050215		3030		 Lulin 1-m
050215		3033		automated Palomar 60-inch
050215		3037		swift  
050215		3051		2.0m Faulkes North
050215		3069		swift  
050223		3055		swift  
050223		3057		swift  
050223		3061		 0.6 m
050223		3067		 PROMPT robotic
050223		5283		  Magellan/Clay
050315		3094		swift  
050315		3095		swift  
050315		3098		H Wieringa (Australia
050315		3098		  Australia
050315		3104		  1.3m
050315		3110		  1.3m
050315		3294		 1.54m Danish
050318		3111		swift  
050318		3114		  Magellan/Baade
050318		3115		swift  
050318		3122		  Magellan/Baade
050319		3117		swift  
050319		3118		  30-cm
050319		3121		 ART 14-inch
050319		3124		  1.5m
050319		3125		  1.2m
050319		3126		  1.2m
050319		3129		swift  
050319		3130		  1.04-m
050319		3131		  Ryle
050319		3136		 Nordic Optical
050319		3136		 Nordic Optical
050319		3136		 Nordic Optical
050319		3139		 1.5-m Russian-Turkish
050319		3140		  1.5m
050319		3142		cm G.D. Cassini
050319		3454		 USNOFS 1.0-m
050401		3163		  40-inch
050401		3164		  40-inch
050401		3174		  1.5m
050401		3176		 Very Large
050401		3178		Giant Metrewave Radio
050401		3233		 ART 14-inch
050401		3319		G. D. Cassini
050401		3319		performed at TNG
050401		3454		 USNOFS 1.0-m
050406		3182		swift  
050406		3185		  Magellan/Clay
050406		3186		swift  
050408		3188		3711 MASTER robotic
050408		3190		  
050408		3192		1m and 6m
050408		3195		50 cm Mitsume
050408		3196		Using Lulin-One meter
050408		3197		6m SAO RAS
050408		3198		 Russian-Turkish 1.5-m
050408		3199		  Magellan/Baade
050408		3200		 1.2m Mercator
050408		3200		  Mercator
050408		3201		  Magellan/Clay
050408		3203		  30-cm
050408		3205		  REM
050408		3206		  AT-64
050408		3206		following Mid Time(UT)
050408		3207		 1.05m Schmidt
050408		3208		  1.3m
050408		3211		 1.2m Mercator
050408		3211		  Mercator
050408		3213		4.1-meter diameter SOAR
050408		3215		 Subaru 8.2m
050408		3227		swift  
050408		3232		 ART 14-inch
050408		3258		 1.5m Kuiper
050408		3261		  1.5m
050408		3262		 Russian-Turkish 1.5-m
050408		3454		 USNOFS 1.0-m
050408		3561		 ARC 3.5-meter
050416		3264		swift  
050416		3266		 ANU 2.3m
050416		3270		Katzman Automatic Imaging
050416		3271		  30-cm
050416		3272		ART 14 inch
050416		3274		  1.5m
050416		3276		swift  
050416		3280		  Ultra-Violet/Optical
050416		3281		  REM
050416		3282		 Swope 40-inch
050416		3282		du Pont 100-inch
050416		3282		  Magellan/Baade
050416		3283		 Swope 40-inch
050416		3283		du Pont 100-inch
050416		3283		  Magellan/Baade
050416		3285		 0.6m BOOTES-IR
050416		3285		  
050416		3286		  0.8-m
050416		3287		3-color Mitsume 50cm
050416		3290		G. D. Cassini
050416		3312		 automated MAGNUM
050416		3369		Giant Meterwave Radio
050416		3454		 USNOFS 1.0-m
050502		3324		  Liverpool
050502		3324		  Liverpool
050502		3326		 PAIRITEL 1.3m
050502		3328		 ANU 1m
050502		3330		swift  
050502		3331		 ANU 1m
050502		3332		  KeckI
050502		3334		  1-m
050502		3335		  1-m
050502		3338		 ANU 1m
050502		3339		swift  
050502		3341		Westerbork Synthesis Radio
050502		3342		Buttes Observatory 24-inch
050502		3350		 1-m Sampurnanand
050502		3357		 1-m ANU
050502		3357		automated Palomar 60-inch
050502		3358		 1-m ANU
050502		3358		automated Palomar 60-inch
050502		3363		 MDM 1.3m
050502		3421		Follow-up for Transients)
050502		3421		  
050502		3421		  
050502		3454		 USNOFS 1.0-m
050505		3360		swift  
050505		3364		swift  
050505		3367		swift  
050505		3368		Keck I 10-m
050505		3371		swift  
050505		3375		050505 - Faulkes
050505		3375		 2m Faulkes
050505		3376		  0.6m
050505		3376		technical problems (the
050505		3398		SARA 0.9 m
050505		3403		 TAROT robotic
050505		4184		 USNOFS 1.0-m
050525		3470		14 inch f/6.3
050525		3471		  1.2m
050525		3473		 TAROT robotic
050525		3481		  robotic
050525		3483		  Gemini-North
050525		3485		 0.6m Super-LOTIS
050525		3486		  1.0-m
050525		3487		  30-cm
050525		3488		 MDM 2.4m
050525		3489		3-color MITSuME 50cm
050525		3491		SARA 0.9 m
050525		3492		  0.4m
050525		3492		(UAPhO), and AT-64
050525		3493		 Russian-Turkish 1.5-m
050525		3506		  1.3m
050525		3507		  Baade
050525		3567		 ARC 3.5-meter
050525		3855		 USNOFS 1.0-m
050603		3089		 Italian TNG
050603		3509		swift  
050603		3511		du Pont 100-inch
050603		3516		swift  
050603		3520		  Magellan/Baade
050709		3569		  PROMPT-5
050709		3571		  30cm
050709		3572		 40-inch Swope
050709		3577		swift  
050709		3577		 and X-Ray
050709		3577		  either
050709		3605		 Gemini North
050709		3605		 Gemini North
050709		3702		Integration Filter Limiting
050709		5062		Tautenburg 1.34m Schmidt
050724		3668		  1.0-m
050724		3671		 Russian-Turkish 1.5-m
050724		3673		 1.2-m Mercator
050724		3673		  3.5-m
050724		3673		  3.5-m
050724		3674		inch Automated Response
050724		3680		3.5m Calar Alto
050724		3680		  same
050724		3681		 1.0-m Swope
050724		3694		  1.3m
050724		3699		 William Herschel
050724		3798		 Magellan/Baade 6.5-m
050724		3801		 Gemini north
050724		5062		Tautenburg 1.34m Schmidt
050724		5944		Magellan Clay 6.5m
050730		3704		swift  
050730		3705		 1.5-m OSN
050730		3706		SUBJECT: GRB050730: Liverpool
050730		3706		 2-m Liverpool
050730		3708		  1.3m
050730		3710		 William Herschel
050730		3716		Magellan Observatory Baade
050730		3718		 Russian-Turkish 1.5-m
050730		3720		 TAROT robotic
050730		3741		 0.8m (F/15)
050730		3775		2-m Himalayan Chandra
050730		3778		Magellan Observatory Baade
050730		3781		Westerbork Synthesis Radio
050730		3810		Westerbork Synthesis Radio
050730		5002		 Magellan Clay
050801		3728		  30cm
050801		3729		  1.3m
050802		21519		Palomar Oschin 48-inch
050802		3742		  Ryle
050802		3744		 2.6m Shain
050802		3749		 Nordic Optical
050802		3756		 Nordic Optical
050802		3765		m Italian National
050802		3855		 USNOFS 1.0-m
050803		3750		 MASTER robotic
050803		3751		 TAROT robotic
050803		3760		 2.6m Shain
050803		3763		 Russian-Turkish 1.5-m
050803		3774		2-m Himalayan Chandra
050803		3783		 2.6m Shain
050814		3807		automated Palomar 60-inch
050814		3809		 Nordic Optical
050820		11187		TLS 1.34m Schmidt
050820		3829		robotic Palomar 60-inch
050820		3834		automated Palomar 60-inch
050820		3843		 2.3-meter WIRO
050820		3845		 USNOFS 1.0-m
050820		3853		 Russian-Turkish 1.5-m
050820		3854		 report: Robotic
050820		3863		Integration Filter Magnitude
050820		3864		 Russian-Turkish 1.5-m
050820		3896		 Russian-Turkish 1.5-m
050824		3865		 1.5m OSN
050824		3874		ESO Very Large
050824		3878		swift  
050824		3880		swift  
050824		3897		  1.5m
050824		3907		 MDM 1.3m
050826		3884		swift  
050826		3891		 MDM 1.3m
050826		3898		  1-m
050826		5982		 MDM 2.4m
050904		14804		robotic Palomar 60-inch
050904		3911		 TAROT robotic
050904		3912		Palomar Robotic 60-inch
050904		3921		 3.6m TNG
050904		3929		30 cm robotic
050904		3937		 Subaru 8.2m
050904		3939		 2.6m Shain
050904		5300		 IRAM 30-m
050904		6018		 Hubble Space
050908		3943		 0.30 m
050908		3945		Katzman Automatic Imaging
050908		3949		  Gemini-North
050908		4049		  1.5m
050915		24289		Katzman Automatic Imaging
050915		3980		 60cm OCS
050915		3981		automated Palomar 60-inch
050915		3985		Katzman Automatic Imaging
050915		3988		  1.3m
050922		4009		  30-cm
050922		4016		 60 cm
050922		4017		 Nordic Optical
050922		4017		 Nordic Optical
050922		4018		Wise observatory 1m
050922		4025		 INT 2.5m
050922		4026		  60cm
050922		4027		  40cm
050922		4040		 Nordic Optical
050922		4040		 Danish 1.5m
050922		4047		  0.4m
050922		4048		 60 cm
051006		4064		 1.5-m OSN
051006		4068		automated Palomar 60-inch
051006		4094		2.6 m Shajn
051016		4098		 Swope 40-inch
051016		4098		  Magellan
051016		4105		  1-m
051016		4110		 Gemini North
051016		4111		 Lulin 1m
051016		4185		  1.5m
051016		4186		 Keck I
051022		4133		  30-cm
051022		4134		Spring Observatory 40-inch
051022		4143		m Carlos Snchez
051022		4148		  Magellan/Baade
051022		4149		 WIYN 0.9m
051022		4156		 200" Hale
051022		4158		Westerbork Synthesis Radio
051022		4164		 1.5 m
051022		4181		 Russian-Turkish 1.5-m
051022		4184		 USNOFS 1.0-m
051022		4246		Tautenburg 1.34m Schmidt
051022		5079		 ARC 3.5-meter
051022		5079		 SOAR 4.1-meter
051028		4175		of William Herschel
051028		4176		meter William Herschel
051028		4178		1.34-m Tautenburg Schmidt
051028		4184		 USNOFS 1.0-m
051109		4212		Automated Infrared Imaging
051109		4215		 MDM 2.4m
051109		4218		automated 0.6-m Super-LOTIS
051109		4219		another 0.3 m
051109		4220		Skynet, PROMPT Temporary
051109		4220		V. PROMPT Temporary
051109		4221		 9.2m Hobby-Eberly
051109		4224		Kiso 1.05m Schmidt
051109		4225		automated 0.6-m Super-LOTIS
051109		4230		 Lulin 1-m
051109		4231		by Lulin 1-m
051109		4239		 Raptor-S robotic
051109		4240		Katzman Automatic Imaging
051109		4241		robotic 0.25m GETS
051109		4243		  Ryle
051109		4259		 1-m Sampurnanand
051109		4259		2-m Himalayan Chandra
051109		4259		Magnitude error Band
051109		4273		  0.38-m
051109		4277		 1m Sampurnanand
051109		4295		: GAO 150cm
051109		4295		 150 cm
051109		4296		051109B: GAO 150cm
051109		4296		 150 cm
051111		26390		 VLT Survey
051111		26396		 VLT Survey
051111		4250		4250 SUBJECT: Faulkes
051111		4250		2-m Faulkes North
051111		4253		 0.3 m
051111		4254		Katzman Automatic Imaging
051111		4255		  Keck
051111		4256		before hitting a
051111		4258		 Lulin 1-m
051111		4262		 Lulin 1m
051111		4263		swift  
051111		4298		152 cm Loiano
051111		4307		  1.5m
