time,mag,err,band,sys,Telescope/Instrument,source,gal_ext_corr
2350.08,20.989,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2356.92,20.975,0.035,Rc,,MMT,arXiv:astro-ph/0502319,yes
2363.4,21.005,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes
2369.88,20.99,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes
2376.36,21.01,0.027,Rc,,MMT,arXiv:astro-ph/0502319,yes
2383.2,20.962,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2390.04,20.996,0.038,Rc,,MMT,arXiv:astro-ph/0502319,yes
2396.52,21.051,0.032,Rc,,MMT,arXiv:astro-ph/0502319,yes
2403,20.991,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2409.48,21.023,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2416.32,21.07,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2422.8,21.02,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes
2429.64,21.037,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes
2436.12,21.057,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
2442.6,21.028,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes
2449.44,21.028,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes
2455.92,21.073,0.029,Rc,,MMT,arXiv:astro-ph/0502319,yes
2462.4,21.056,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2469.24,21.051,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2475.72,21.036,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes
2482.2,21.052,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
2488.68,21.034,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes
2495.16,21.077,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
2525.04,21.079,0.024,Rc,,MMT,arXiv:astro-ph/0502319,yes
2531.52,21.05,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes
2538.36,21.044,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2544.84,21.047,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2551.32,21.052,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes
2557.8,21.036,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes
2564.64,21.086,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
6266.52,22.33,0.04,Rc,,VATT,arXiv:astro-ph/0502319,yes
6426.36,22.351,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes
6455.16,22.367,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes
9842.76,22.97,0.05,Rc,,VATT,arXiv:astro-ph/0502319,yes
9920.52,22.878,0.06,Rc,,MMT,arXiv:astro-ph/0502319,yes
10470.96,22.98,0.08,Rc,,MMT,arXiv:astro-ph/0502319,yes
10503.36,23.072,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes
13415.76,23.33,0.08,Rc,,VATT,arXiv:astro-ph/0502319,yes
13871.16,23.539,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes
13900.68,23.568,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes
35503.92,24.119,0.16,Rc,,MMT,arXiv:astro-ph/0502319,yes
99274.68,24.08,0.1,Rc,,Clay,arXiv:astro-ph/0502319,yes
110703.96,24.04,0.1,Rc,,Clay,arXiv:astro-ph/0502319,yes
132854.4,23.87,0.11,Rc,,Keck II,arXiv:astro-ph/0502319,yes
203487.12,24.77,0.12,Rc,,Baade,arXiv:astro-ph/0502319,yes
232385.76,25.11,0.23,Rc,,Baade,arXiv:astro-ph/0502319,yes
21283.45,19.8,0.056,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
22245.61,19.74,0.034,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
23083.69,19.91,0.043,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
24082.25,19.93,0.053,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
26736.01,20.02,0.047,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
28066.57,20.06,0.059,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
29509.45,20.04,0.047,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
30822.73,20.06,0.059,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
32101.45,20.23,0.062,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
35094.01,20.22,0.053,R,,104cm Sampurnanand Telescope,arXiv_astroph/0511352v2,no
2108.17,18.11,0.02,V,,SSO 40-inch,arXiv_astroph/0504359v2,yes
2453.77000000003,18.2,0.04,V,,SSO 40-inch,arXiv_astroph/0504359v2,yes
2885.77000000003,18.29,0.02,V,,SSO 40-inch,arXiv_astroph/0504359v2,yes
3231.36999999999,18.38,0.03,V,,SSO 40-inch,arXiv_astroph/0504359v2,yes
3663.36999999998,18.48,0.03,V,,SSO 40-inch,arXiv_astroph/0504359v2,yes
5996.16999999999,19.18,0.07,B,,SSO 40-inch,arXiv_astroph/0504359v2,yes
6341.77000000003,19.24,0.06,B,,SSO 40-inch,arXiv_astroph/0504359v2,yes
6687.36999999999,19.29,0.07,B,,SSO 40-inch,arXiv_astroph/0504359v2,yes
7119.36999999998,18.99,0.03,V,,SSO 40-inch,arXiv_astroph/0504359v2,yes
7983.37000000004,17.16,0.07,H,,SSO 2.3m,arXiv_astroph/0504359v2,yes
8588.17000000001,17.12,0.06,H,,SSO 2.3m,arXiv_astroph/0504359v2,yes
9279.37000000001,17.19,0.06,H,,SSO 2.3m,arXiv_astroph/0504359v2,yes
9884.16999999998,17.47,0.06,H,,SSO 2.3m,arXiv_astroph/0504359v2,yes
10575.37,17.43,0.07,H,,SSO 2.3m,arXiv_astroph/0504359v2,yes
3445.4,18.9,0.055,B,,Kiso,arXiv_astroph-0612623,no
3856.4,18.965,0.058,B,,Kiso,arXiv_astroph-0612623,no
4286.4,18.89,0.07,B,,Kiso,arXiv_astroph-0612623,no
10303,19.696,0.074,B,,Kiso,arXiv_astroph-0612623,no
14153,19.997,0.074,B,,Mt.Maidanak,arXiv_astroph-0612623,no
15129,20.122,0.078,B,,Mt.Maidanak,arXiv_astroph-0612623,no
27689,21.004,0.188,B,,Lulin,arXiv_astroph-0612623,no
8593.4,19.141,0.117,V,,Kiso,arXiv_astroph-0612623,no
9437.4,19.316,0.145,V,,Kiso,arXiv_astroph-0612623,no
13651,19.564,0.057,V,,Mt.Maidanak,arXiv_astroph-0612623,no
14328,19.677,0.078,V,,Mt.Maidanak,arXiv_astroph-0612623,no
15469,19.752,0.074,V,,Mt.Maidanak,arXiv_astroph-0612623,no
2141.4,17.799,0.04,R,,Kiso,arXiv_astroph-0612623,no
2562.4,17.988,0.063,R,,Kiso,arXiv_astroph-0612623,no
2984.4,18.152,0.08,R,,Kiso,arXiv_astroph-0612623,no
8142.4,18.97,0.23,R,,Beijing,arXiv_astroph-0612623,no
10746,18.89,0.24,R,,Beijing,arXiv_astroph-0612623,no
12743,19.211,0.067,R,,Mt.Maidanak,arXiv_astroph-0612623,no
13067,19.231,0.075,R,,Mt.Maidanak,arXiv_astroph-0612623,no
14570,19.229,0.074,R,,Mt.Maidanak,arXiv_astroph-0612623,no
15731,19.544,0.076,R,,Mt.Maidanak,arXiv_astroph-0612623,no
16249,19.371,0.156,R,,Mt.Maidanak,arXiv_astroph-0612623,no
28035,20.349,0.09,R,,Lulin,arXiv_astroph-0612623,no
28426,20.314,0.092,R,,Lulin,arXiv_astroph-0612623,no
