GRB150910A
Photometry Log of GRB 150910A
T–T0(mid, s) 	Exp (s) 	Maga 		o 	Filter		Telescope, GCN
									Circ., References
2581 		10 		16.60 		0.04 	Clear 		KAIT
2681 		10 		16.70 		0.04 	Clear 		KAIT
2781 		10 		16.77 		0.05 	Clear 		KAIT
2881 		10 		16.91 		0.04 	Clear 		KAIT
2979 		10 		16.88 		0.06 	Clear 		KAIT
3079 		10 		17.00 		0.07 	Clear 		KAIT
3177 		10 		16.99 		0.05 	Clear 		KAIT
3242 		10 		17.05 		0.06 	Clear 		KAIT
3309 		10 		17.07 		0.04 	Clear 		KAIT
3376 		10 		17.12 		0.05 	Clear 		KAIT
3442 		10 		17.19 		0.06 	Clear 		KAIT
3509 		10 		17.18 		0.06 	Clear 		KAIT
3574 		10 		17.18 		0.05 	Clear 		KAIT
3641 		10 		17.27 		0.06 	Clear 		KAIT
3706 		10 		17.20 		0.05 	Clear 		KAIT
3773 		10 		17.28 		0.05 	Clear 		KAIT
3840 		10 		17.27 		0.06 	Clear 		KAIT
3907 		10 		17.37	 	0.07 	Clear 		KAIT
3973 		10 		17.32 		0.06 	Clear 		KAIT
4046 		10 		17.42 		0.05 	Clear 		KAIT
4113 		10 		17.46 		0.06 	Clear 		KAIT
4180 		10 		17.45 		0.06 	Clear 		KAIT
4247 		10 		17.49 		0.06 	Clear 		KAIT
4313 		10 		17.48 		0.06 	Clear 		KAIT
4340 		10 		17.46 		0.06 	Clear 		KAIT
4550 		10 		17.55 		0.06 	Clear 		KAIT
4617 		10 		17.53 		0.07 	Clear 		KAIT
4683 		10 		17.51 		0.06 	Clear 		KAIT
4750 		10 		17.50 		0.06 	Clear 		KAIT
4817 		10 		17.60 		0.06 	Clear 		KAIT
4883 		10 		17.70 		0.07 	Clear 		KAIT
4948 		10 		17.58 		0.06 	Clear 		KAIT
5015 		10 		17.66 		0.08 	Clear 		KAIT
5082 		10 		17.65 		0.06 	Clear 		KAIT
5148 		10 		17.64 		0.05 	Clear 		KAIT
5215 		10 		17.68 		0.06 	Clear 		KAIT
5282 		10 		17.71 		0.04 	Clear 		KAIT
5349 		10 		17.76 		0.07 	Clear 		KAIT
5414 		10 		17.78 		0.05 	Clear 		KAIT
5879 		10 		17.87 		0.07 	Clear 		KAIT
5946 		10 		17.81 		0.08 	Clear 		KAIT
6012 		10 		17.99 		0.07 	Clear 		KAIT
6079 		10 		17.81 		0.06 	Clear 		KAIT
6144 		10 		17.93 		0.09 	Clear 		KAIT
6211 		10 		18.03 		0.07 	Clear 		KAIT
6278 		10 		18.11 		0.11 	Clear 		KAIT
12,104 		270		18.40 		0.10 	R 		MITSuME,18267,(2)
17,676 		300 		19.40 		0.20 	R 		Nanshan,18269, (3)
18,504 		300 		19.55 		0.20 	R 		Nanshan,18269, (3)
19,116 		300 		19.30 		0.20 	R 		Nanshan,18269, (3)
36,985 		1650 		20.18 		0.05 	R 		TSHAO,18281, (4)
39,492 		150 		20.09 		0.23 	R 		T100,18314, (5)
39,726 		900 		20.20 		0.05 	R 		SAORAS,18275, (6)
39,816 		150 		20.18 		0.25 	R 		T100,18314, (5)
44,905 		2760 		20.46 		0.07 	R 		Mt-Terkol,18306, (7)
45,131 		990 		20.25 		0.14 	R 		Chuguev,18287, (8)
48,412 		900 		20.57 		0.05 	R 		SAORAS,18275, (6)
56,660 		900 		20.78 		0.05 	R 		SAORAS,18275, (6)
57,959 		780 		20.90 		0.07 	R 		Mt-Terkol,18320, (9)
78,752 		5 × 600 	21.17 		0.09 	R 		Nickel
104,998 	2400 		21.80 		0.20 	R 		MITSuME,18288,(10)
118,903 	600 		21.69 		0.12 	R 		CrAO,18556, (11)
119,882 	2400 		21.87 		0.10 	R 		TSHAO,18319, (12)
123,068 	600 		21.82 		0.10 	R 		CrAO,18556, (9)
192,376 	1620 		22.30 		0.40 	R 		TSHAO,18319, (12)
121,150 	600 		22.48 		0.15 	B 		CrAO,18556, (9)
124,727 	960 		22.09 		0.10 	B 		CrAO,18556, (9)
