GRB141121A
Table 2
Log of Observations
T-T0 	Mag 		Flux 		Band 	Instrument
(days) 			(?Jy)	
3.250 	20.80 ± 0.09 	17.44 ± 1.51 	r? 	Palomar-P60
4.170 	20.82 ± 0.06 	17.05 ± 0.93 	r? 	Palomar-P60
5.300 	21.16 ± 0.07 	12.49 ± 0.83 	r? 	Palomar-P60
6.160 	21.52 ± 0.10 	8.97 ± 0.78 	r? 	Palomar-P60
1.300 	20.68 ± 0.04 	18.55 ± 0.62 	i? 	Palomar-P60
2.240 	20.37 ± 0.07 	20.87 ± 1.37 	i? 	Palomar-P60
3.240 	20.45 ± 0.09 	17.01 ± 1.35 	i? 	Palomar-P60
4.190 	20.59 ± 0.05 	16.63 ± 0.74 	i? 	Palomar-P60
5.290 	20.91 ± 0.07 	12.18 ± 0.75 	i? 	Palomar-P60
6.180 	21.17 ± 0.08 	8.75 ± 0.68 	i? 	Palomar-P60
2.220 	20.72 ± 0.05 	18.67 ± 0.89 	g? 	Palomar-P60
3.220 	20.81 ± 0.06 	17.17 ± 0.92 	g? 	Palomar-P60
4.220 	21.17 ± 0.05 	12.41 ± 0.55 	g? 	Palomar-P60
Discovery Channel Telescope
16.098 	23.34 ± 0.14 	1.67 ± 0.21 	r? 	DCT
16.098 	23.18 ± 0.12 	1.94 ± 0.21 	i? 	DCT
UVOT
0.075 	20.21 ± 0.29 	29.79 ± 7.85 	u 	UVOT
0.335 	20.12 ± 0.11 	32.48 ± 3.38 	u 	UVOT
0.695 	20.86 ± 0.09 	16.52 ± 1.42 	u 	UVOT
0.797 	20.68 ± 0.11 	19.39 ± 1.91 	u 	UVOT
1.768 	21.19 ± 0.14 	12.12 ± 1.62 	u 	UVOT
2.624 	21.23 ± 0.18 	11.70 ± 1.97 	u 	UVOT
3.541 	21.28 ± 0.13 	11.13 ± 1.34 	u 	UVOT
4.607 	21.78 ± 0.22 	7.02 ± 1.40 	u 	UVOT
6.705 	22.42 ± 0.20 	3.90 ± 0.72 	u 	UVOT
8.683 	22.73 ± 0.36 	2.95 ± 0.98 	u 	UVOT
10.448 	22.86 ± 0.64 	2.61 ± 1.53 	u 	UVOT
14.266 	23.75 ± 0.71 	1.15 ± 0.75 	u 	UVOT
0.079 	19.45 ± 0.31 	60.20 ± 17.24 	b 	UVOT
0.215 	20.08 ± 0.69 	33.67 ± 21.49 	b 	UVOT
0.681 	20.26 ± 0.22 	28.66 ± 5.73 	b 	UVOT
1.777 	20.80 ± 0.33 	17.33 ± 5.32 	b 	UVOT
0.192 	20.21 ± 0.40 	29.81 ± 10.85 	v 	UVOT
0.055 	20.72 ± 0.56 	18.73 ± 9.66 	uvw1 	UVOT
0.265 	20.80 ± 0.30 	17.40 ± 4.77 	uvw1 	UVOT
0.326 	20.88 ± 0.14 	16.17 ± 2.03 	uvw1 	UVOT
1.764 	22.22 ± 0.27 	4.70 ± 1.18 	uvw1 	UVOT
2.593 	21.91 ± 0.14 	6.26 ± 0.82 	uvw1 	UVOT
4.884 	22.33 ± 0.18 	4.23 ± 0.70 	uvw1 	UVOT
5.424 	22.49 ± 0.24 	3.67 ± 0.83 	uvw1 	UVOT
7.812 	23.24 ± 0.38 	1.84 ± 0.65 	uvw1 	UVOT
9.751 	22.86 ± 0.27 	2.60 ± 0.64 	uvw1 	UVOT
13.531 	24.40 ± 1.78 	0.63 ± 1.04 	uvw1 	UVOT
GCN
0.505 	20.13 ± 0.08 	32.06 ± 2.36 	u? 	Keck-LRIS
0.408 	19.81 ± 0.01 	43.33 ± 0.40 	g? 	Keck-LRIS
0.505 	19.99 ± 0.02 	36.71 ± 0.68 	g? 	Keck-LRIS
27.305 	24.46 ± 0.04 	0.60 ± 0.02 	g? 	Keck-LRIS
0.015 	19.70 ± 0.10 	48.09 ± 4.43 	g? 	GROND1
0.302 	19.52 ± 0.06 	56.76 ± 3.14 	r? 	LCO-FTN2
0.385 	19.71 ± 0.10 	47.21 ± 4.35 	r? 	MITSuME3
0.408 	19.45 ± 0.01 	59.98 ± 0.55 	r? 	Keck-LRIS
0.505 	19.68 ± 0.02 	48.98 ± 0.90 	r? 	Keck-LRIS
1.819 	20.82 ± 0.03 	17.14 ± 0.47 	r? 	TSHAO4
2.320 	20.50 ± 0.04 	22.80 ± 0.84 	r? 	LCO-FTN2
5.830 	21.54 ± 0.09 	8.83 ± 0.73 	r? 	TSHAO6
27.305 	24.16 ± 0.09 	0.79 ± 0.07 	r? 	Keck-LRIS
0.015 	19.52 ± 0.10 	56.39 ± 5.19 	i? 	GROND1
0.310 	19.34 ± 0.06 	66.56 ± 3.68 	i? 	LCO-FTN2
0.385 	19.66 ± 0.10 	49.57 ± 4.57 	i? 	MITSuME3
2.300 	20.26 ± 0.05 	28.53 ± 1.31 	i? 	LCO-FTN2
27.305 	23.88 ± 0.07 	1.02 ± 0.07 	i? 	Keck-LRIS
