							Table 3. RATIR GRB 160625B Data

Days after		Exposure
GRB			(minutes)		r 			i 			Z 			Y 			J 			H
8.37 			8.4 			21.52 ± 0.04 		21.39 ± 0.04 		21.43 ± 0.11 		20.95 ± 0.08 		20.75 ± 0.12 		20.41 ± 0.11
9.37 			8.4 			21.54 ± 0.02 		21.37 ± 0.02 		21.22 ± 0.05 		21.10 ± 0.06 		20.89 ± 0.08 		20.55 ± 0.08
10.36	 		6.0 			21.61 ± 0.03 		21.47 ± 0.03 		21.42 ± 0.07 		21.23 ± 0.09 		20.83 ± 0.09 		20.64 ± 0.11
11.35 			8.4 			21.71 ± 0.02 		21.50 ± 0.02 		21.31 ± 0.05 		21.15 ± 0.07 		20.92 ± 0.08 		20.91 ± 0.12
12.35 			7.8 			21.78 ± 0.03 		21.57 ± 0.03 		21.48 ± 0.07 		21.35 ± 0.10 		21.38 ± 0.16 		20.91 ± 0.15
13.36 			8.4 			21.93 ± 0.03 		21.69 ± 0.02 		21.60 ± 0.06 		21.49 ± 0.08 		21.16 ± 0.08 		21.02 ± 0.10
14.41 			14.4	 		22.01 ± 0.03 		21.83 ± 0.02 		21.81 ± 0.07 		21.63 ± 0.08 		21.40 ± 0.11 		21.10 ± 0.12
15.36 			8.4 			22.24 ± 0.05 		22.00 ± 0.04 		21.76 ± 0.09 		21.92 ± 0.14 		21.85 ± 0.18 		21.11 ± 0.14
16.34 			8.4 			22.33 ± 0.05 		22.12 ± 0.04 		21.83 ± 0.09 		21.78 ± 0.14 		21.39 ± 0.14 		21.33 ± 0.19
19.32 			8.4 			22.58 ± 0.07 		22.34 ± 0.07 		22.18 ± 0.15 		22.51 ± 0.36 		21.50 ± 0.22 		21.04 ± 0.23
20.32 			7.8 			22.82 ± 0.11 		22.51 ± 0.09 		22.41 ± 0.18 		22.14 ± 0.18 		22.03 ± 0.23 		21.77 ± 0.24
21.39 			16.8 			22.61 ± 0.13 		22.54 ± 0.14 		> 22.54 		> 22.23 		> 21.80 		21.05 ± 0.28
22.32 			8.4 			22.81 ± 0.12 		22.56 ± 0.11 		22.61 ± 0.22 		22.39 ± 0.24 		22.34 ± 0.31 		22.05 ± 0.34
23.38 			15.6 			22.84 ± 0.11 		22.91 ± 0.13 		22.48 ± 0.11 		- 			21.87 ± 0.10 		-
24.38 			16.2 			22.90 ± 0.16 		22.87 ± 0.17 		23.14 ± 0.27 		- 			21.98 ± 0.12 		-
25.39 			18.0 			22.85 ± 0.13 		22.70 ± 0.13 		22.66 ± 0.15 		- 			22.43 ± 0.18 		-
26.37 			16.2 			23.03 ± 0.11 		22.91 ± 0.11 		22.86 ± 0.15 		- 			22.43 ± 0.17 		-
39.39 			8.4 			24.10 ± 0.23 		23.75 ± 0.19 		- 			- 			- 			-
40.39 			7.2 			23.71 ± 0.17 		23.75 ± 0.20		- 			- 			- 			-
41.39 			7.2 			23.98 ± 0.22 		23.60 ± 0.17 		- 			- 			- 			-
41.89 			5.4 			- 			- 			23.57 ± 0.32 		> 23.32 		> 22.89 		> 22.49
43.31 			12.0 			> 24.33 		23.64 ± 0.21 		- 			- 			- 			-
44.36 			70.8 			24.01 ± 0.22 		23.72 ± 0.18 		- 			- 			- 			-
52.92 			190.2 			> 23.54 		- 			- 			- 			- 			-
53.92 			307.8 			- 			24.08 ± 0.27 		23.86 ± 0.33 		- 			> 23.36 		-
